# Trial: 4
# Angle[deg]: 20
# Timestamp: 20260308_211447

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
4.56114, -0.93087, -13.8543, 0.0170355, 0.226973, 0.00339937
4.54013, -0.962471, -13.6519, 0.0265154, 0.223942, 0.00734142
4.4968, -0.926996, -13.3887, 0.0267489, 0.223653, 0.0110595
4.48079, -0.892776, -13.736, 0.0297557, 0.222992, 0.0126932
4.48318, -0.897478, -13.8253, 0.0255482, 0.220905, 0.0135296
4.41825, -0.816226, -13.6804, 0.024025, 0.22012, 0.0155797
4.4388, -0.72796, -13.0543, 0.019941, 0.219087, 0.0157993
4.52901, -0.670836, -12.5008, 0.016703, 0.220663, 0.015181
4.52066, -0.594038, -12.0641, 0.0143057, 0.219578, 0.0134672
4.569, -0.52864, -11.5221, 0.0166378, 0.220016, 0.00906556
4.60461, -0.547874, -11.4775, 0.0171386, 0.22181, -0.000666159
4.63176, -0.54283, -11.4947, 0.0117301, 0.222515, -0.00849036
4.64154, -0.568202, -11.5058, 0.00597283, 0.223463, -0.00989521
4.6969, -0.584136, -11.7217, 0.00727159, 0.227301, -0.0108036
4.80893, -0.592445, -11.5535, 0.00630195, 0.232898, -0.0120829
4.88842, -0.685733, -11.5832, 0.00870684, 0.236467, -0.0154489
4.82423, -0.693847, -11.537, 0.0153976, 0.234269, -0.015362
4.75569, -0.769396, -11.7881, 0.0165933, 0.234916, -0.0164969
4.77206, -0.825803, -12.2961, 0.0228522, 0.2353, -0.0150399
4.69756, -0.772856, -12.2132, 0.0209797, 0.22723, -0.0128092
4.54332, -0.737973, -11.8064, 0.0184525, 0.212949, -0.00960428
4.34331, -0.720648, -11.6344, 0.0152265, 0.203153, -0.00831173
4.23347, -0.804568, -12.3074, 0.0134849, 0.200673, -0.0104619
4.19206, -0.805008, -12.5047, 0.0106618, 0.201368, -0.0103644
4.06621, -0.810978, -12.5747, 0.0138034, 0.196079, -0.00994086
3.97981, -0.878244, -12.6457, 0.0174516, 0.192588, -0.0105826
4.01089, -0.909403, -12.7058, 0.031796, 0.195061, -0.0100244
4.02996, -0.883123, -12.4338, 0.0362599, 0.195647, -0.00688744
4.02744, -0.862346, -12.5279, 0.0365203, 0.197766, -0.00195814
4.0626, -0.890957, -12.9027, 0.0353478, 0.201449, -0.000111177
4.07164, -0.860887, -13.0015, 0.0338931, 0.20297, 0.000117165
4.09252, -0.832916, -12.8974, 0.0308555, 0.204903, -0.00276406
4.14226, -0.882549, -13.4414, 0.0270645, 0.208898, -0.00911675
4.07103, -0.907806, -13.7064, 0.027315, 0.205667, -0.0154321
3.9826, -0.992972, -14.2351, 0.0273557, 0.200965, -0.0167212
3.81524, -1.0766, -15.1115, 0.0331658, 0.195503, -0.0176729
3.7353, -1.19532, -16.2612, 0.0397525, 0.191882, -0.0138246
3.5304, -1.20102, -16.7864, 0.042186, 0.187805, -0.00216897
3.38337, -1.17673, -17.2187, 0.0459643, 0.181781, 0.00350095
3.31505, -1.18656, -17.3339, 0.0464157, 0.177885, 0.00415095
3.33246, -1.07839, -16.6716, 0.0446508, 0.176271, 0.00450358
3.38846, -0.932748, -15.2246, 0.0386856, 0.174306, 0.00216038
3.32874, -0.954833, -14.3982, 0.0382428, 0.172661, -0.00518103
3.28233, -0.909252, -14.0448, 0.0396268, 0.167614, -0.010791
3.30374, -0.905498, -14.2149, 0.0414616, 0.171991, -0.010654
3.37352, -0.90866, -14.4107, 0.0405756, 0.174006, -0.00890298
3.36274, -0.884093, -14.5582, 0.0426958, 0.173107, -0.00410304
3.41922, -0.947133, -15.1109, 0.0423676, 0.176443, -0.00118013
3.43804, -0.919194, -14.9156, 0.0424388, 0.174218, -0.00302585
3.60197, -0.907384, -14.663, 0.0414132, 0.185243, -0.00918194
3.79655, -0.916093, -14.5945, 0.0382865, 0.191934, -0.0109654
3.8813, -0.915026, -14.9873, 0.0369127, 0.195288, -0.00891518
3.94798, -0.865055, -14.8948, 0.0312672, 0.20097, -0.00406339
4.10954, -0.852577, -14.9083, 0.0323177, 0.207322, 0.00156608
4.11143, -0.862786, -14.898, 0.034266, 0.209388, 0.00282236
4.12338, -0.883573, -15.033, 0.0373597, 0.211512, 0.00167251
4.19909, -0.871077, -15.123, 0.0392524, 0.214311, 0.00132237
4.33359, -0.847208, -14.9654, 0.0358068, 0.219758, -0.00103697
4.4008, -0.865771, -15.2113, 0.034727, 0.223012, -0.00490343
4.46432, -0.877341, -15.0556, 0.0306522, 0.228909, -0.00966676
4.56702, -0.854877, -15.2671, 0.0315995, 0.235553, -0.014779
4.72286, -0.866287, -14.8579, 0.0305604, 0.239679, -0.0168161
4.8498, -0.90637, -15.307, 0.0345948, 0.247463, -0.0181364
4.95095, -0.957546, -15.8187, 0.0369581, 0.25261, -0.0194399
5.1561, -1.02417, -16.1674, 0.0385342, 0.262719, -0.0181016
5.42959, -1.04563, -16.4463, 0.039831, 0.277445, -0.0178536
5.61667, -1.05838, -17.0931, 0.0374059, 0.286002, -0.0185378
5.76141, -0.964063, -16.5569, 0.0265543, 0.291206, -0.0167575
5.7675, -0.942196, -16.1261, 0.0216631, 0.291039, -0.0148484
5.73722, -0.96324, -15.9654, 0.0216938, 0.286486, -0.0159243
5.81274, -1.0425, -16.2813, 0.0315099, 0.292221, -0.0198749
5.70923, -1.02993, -16.1057, 0.0431533, 0.283916, -0.0166076
5.77466, -0.957417, -16.0342, 0.0458139, 0.28915, -0.00670904
5.70629, -0.969877, -16.3225, 0.0415717, 0.283813, 0.00110974
5.59981, -0.889231, -16.5692, 0.0343605, 0.275881, 0.00603859
5.67055, -0.811026, -16.0341, 0.0249307, 0.280215, 0.00604073
5.6237, -0.735006, -15.3043, 0.0194607, 0.275085, 0.00189747
5.63774, -0.734651, -15.0521, 0.0168656, 0.27367, -0.00579917
5.70759, -0.733734, -14.7074, 0.014498, 0.276766, -0.00989973
5.70052, -0.65984, -14.2298, 0.0105164, 0.273287, -0.00599486
5.66736, -0.664075, -14.5, 0.00712833, 0.274799, 0.00247618
