# Trial: 10
# Angle[deg]: 0
# Timestamp: 20260312_182311

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.304801, -2.63507, -12.6014, 0.0372312, 0.0222066, 0.0115093
0.346979, -2.67533, -12.8132, 0.0299492, 0.0202768, 0.00617338
0.443844, -2.80586, -13.2509, 0.0393757, 0.0274566, 0.00608819
0.56351, -3.00541, -13.6724, 0.062696, 0.0342563, 0.0112095
0.661077, -3.08881, -14.2138, 0.0698452, 0.0356124, 0.0154186
0.764974, -3.17214, -14.5983, 0.0824293, 0.0390831, 0.014203
0.784622, -3.28405, -14.991, 0.0947407, 0.0415269, 0.0134016
0.949246, -3.3989, -15.8484, 0.106605, 0.0477943, 0.0144295
1.08597, -3.62943, -16.8228, 0.114478, 0.0506544, 0.0145642
1.20009, -4.10008, -18.7652, 0.124035, 0.0514883, 0.012187
1.36744, -4.5321, -20.8145, 0.123924, 0.0583649, 0.0127381
1.78085, -4.69925, -21.8435, 0.10022, 0.0780461, 5.73963e-05
2.22608, -5.01483, -23.0323, 0.0790718, 0.107754, -0.0115321
2.61484, -5.4386, -24.0399, 0.0695984, 0.126008, -0.01449
2.85301, -5.86263, -25.2126, 0.0747408, 0.134222, -0.0155568
2.92102, -6.34199, -26.6502, 0.110153, 0.142354, -0.0180954
3.1456, -6.8678, -28.315, 0.181872, 0.156221, -0.010106
3.41179, -7.37319, -29.9674, 0.224286, 0.16393, -0.00355993
3.65423, -7.54733, -31.4561, 0.250602, 0.176396, 0.000484027
3.92915, -7.83605, -33.1403, 0.2646, 0.193063, -0.00176471
4.27512, -8.10455, -34.3188, 0.25628, 0.216643, -0.0143652
4.58236, -8.17071, -34.6553, 0.222566, 0.238909, -0.0219424
4.78094, -8.21727, -34.67, 0.198516, 0.243384, -0.0237011
4.83764, -8.45415, -35.1048, 0.213668, 0.242371, -0.0131454
4.72105, -8.80658, -36.0797, 0.295609, 0.230083, 0.00117922
4.83858, -9.1411, -38.2585, 0.327279, 0.22738, 0.0112287
5.2043, -9.1727, -40.1204, 0.354948, 0.243492, 0.00980561
5.513, -9.28665, -41.6428, 0.38012, 0.265653, -0.00176516
5.71584, -9.42885, -43.2803, 0.394415, 0.276816, -0.0114839
5.68391, -9.68968, -44.8628, 0.40101, 0.272069, -0.00182041
5.49599, -9.69671, -45.7086, 0.361191, 0.251374, 0.0173506
5.40108, -9.65398, -45.4509, 0.312368, 0.240148, 0.0220461
5.2055, -9.84926, -45.3293, 0.283208, 0.223052, 0.0101455
4.77355, -9.97907, -45.1941, 0.267232, 0.19792, 0.000269469
4.60007, -9.90171, -43.9013, 0.24639, 0.188889, -0.00342367
4.3979, -9.70912, -42.4952, 0.246163, 0.171469, 0.0150922
4.10825, -9.9768, -43.1655, 0.301103, 0.153906, 0.03328
4.11626, -9.92633, -43.1771, 0.336405, 0.155824, 0.0349167
4.14711, -9.55585, -41.9791, 0.354692, 0.164263, 0.0227214
4.31236, -8.89909, -39.6033, 0.343289, 0.170629, 0.0123038
4.3577, -8.59986, -38.8831, 0.333211, 0.16597, -9.53592e-05
4.1446, -8.44646, -38.6265, 0.328294, 0.151591, -0.00358851
4.05614, -8.57553, -40.2983, 0.344312, 0.150995, -0.00393458
4.22531, -8.74629, -41.6532, 0.358834, 0.159877, 0.000887383
4.44715, -8.81945, -42.3087, 0.372226, 0.180849, 0.00828122
4.84694, -8.8512, -43.2354, 0.384656, 0.215571, 0.00517019
5.44893, -9.06456, -44.5301, 0.394386, 0.254429, -0.00790623
5.81779, -8.99938, -44.9524, 0.388625, 0.277315, -0.0150287
5.77316, -9.04291, -45.4048, 0.377504, 0.276657, -0.00897066
5.67299, -9.26756, -46.6288, 0.364939, 0.258681, 0.00302709
5.64322, -9.4555, -47.8164, 0.353549, 0.25037, 0.0166362
5.56703, -9.606, -48.4846, 0.354594, 0.251999, 0.0192272
5.67414, -9.69588, -48.5, 0.355723, 0.269048, 0.00364625
5.98241, -9.69944, -48.4361, 0.369915, 0.297087, -0.00396057
6.0562, -9.68958, -47.7655, 0.386053, 0.303176, -0.00698676
5.84235, -9.80059, -48.3928, 0.427808, 0.274734, 0.0020857
5.47686, -9.95866, -49.9939, 0.440088, 0.240957, 0.0171364
5.34479, -9.96525, -51.1613, 0.4424, 0.234617, 0.0220455
5.22135, -9.42984, -50.4157, 0.433577, 0.231978, 0.0182983
5.0557, -8.90677, -50.1891, 0.419441, 0.22967, 0.0156417
5.26622, -8.35047, -50.9865, 0.40326, 0.246137, 0.0127012
5.67058, -7.60565, -51.8589, 0.374715, 0.267542, 0.00993566
5.81135, -6.46542, -52.0555, 0.327468, 0.277746, 0.00522736
5.95067, -5.34555, -53.5567, 0.279391, 0.286745, 0.0035754
6.00192, -4.0187, -55.656, 0.22173, 0.285318, 0.00551908
5.89505, -2.59734, -58.9015, 0.161174, 0.281797, 0.00778386
6.15509, -1.18791, -62.3654, 0.102201, 0.290799, 0.00796679
6.66147, 0.190709, -64.9342, 0.0442389, 0.316581, 0.00948813
7.15454, 1.2929, -66.619, -0.00462108, 0.345859, 0.0151473
7.56236, 1.81318, -68.7621, -0.0447733, 0.367069, 0.0237275
7.6567, 1.83654, -68.7919, -0.0782219, 0.369503, 0.0264377
7.63402, 1.33581, -69.0688, -0.0841293, 0.359369, 0.00571376
7.83432, 0.166879, -69.7901, -0.0404561, 0.361389, -0.0111577
7.479, -1.38463, -69.2394, 0.0172117, 0.336062, -0.0162552
7.13225, -2.87336, -66.4298, 0.0713669, 0.318641, -0.0176555
7.26701, -4.28842, -62.3635, 0.120366, 0.314389, -0.0121523
6.82113, -5.66888, -58.9758, 0.165355, 0.288922, -0.00712686
6.35367, -6.7643, -57.4247, 0.200291, 0.258473, -0.00987612
6.24401, -7.61892, -56.8228, 0.231335, 0.241033, -0.0184803
6.02177, -8.06904, -56.2488, 0.25735, 0.217662, -0.0164966
5.87458, -8.19351, -56.1154, 0.292208, 0.198108, 0.00342514
6.46506, -8.46334, -57.7935, 0.3577, 0.242259, 0.0123451
7.07927, -8.13073, -58.4768, 0.370291, 0.293656, 0.0145823
7.30449, -7.55121, -59.8904, 0.363922, 0.313444, 0.00266091
7.6414, -7.14747, -61.9252, 0.349057, 0.332737, -0.00234398
7.93158, -6.52934, -63.2286, 0.328359, 0.345606, 0.000431376
7.9129, -5.71058, -64.4177, 0.300839, 0.351812, 0.0112043
8.24333, -5.02027, -65.7878, 0.269081, 0.368314, 0.0121569
8.44571, -4.22362, -67.6139, 0.236392, 0.383257, 0.0140981
8.64611, -3.04776, -68.4941, 0.190281, 0.398043, 0.0163279
9.05972, -1.76255, -70.2416, 0.139057, 0.420112, 0.0128506
9.33377, -0.27603, -71.9074, 0.0782639, 0.434344, 0.012172
9.3653, 1.27831, -74.6524, 0.0187218, 0.435772, 0.0145259
9.52335, 2.68882, -77.0565, -0.0362119, 0.43853, 0.0167567
9.68892, 4.17527, -80.1069, -0.0954205, 0.450183, 0.0189547
9.92585, 5.5201, -82.684, -0.155884, 0.468728, 0.0199599
10.2633, 6.52604, -84.7003, -0.207873, 0.492612, 0.0246167
10.4714, 7.17637, -83.9533, -0.246632, 0.496282, 0.0388074
9.97016, 7.45133, -83.2546, -0.268435, 0.452531, 0.0391399
9.49438, 7.43645, -83.9583, -0.277364, 0.398816, 0.0104479
9.64637, 7.33181, -84.3639, -0.295393, 0.402175, -0.0085003
10.0321, 6.9685, -84.2218, -0.309247, 0.421092, -0.0164651
10.1461, 6.04813, -83.8796, -0.290313, 0.43273, -0.0110552
9.88495, 4.78497, -81.0359, -0.246377, 0.43462, -0.000321216
10.4015, 3.82184, -78.7182, -0.210098, 0.472821, 0.00131175
10.9504, 2.82832, -77.0397, -0.170663, 0.487854, -0.00275932
10.4838, 1.83832, -75.7458, -0.124629, 0.450792, -0.0141228
