# Trial: 4
# Angle[deg]: -40
# Timestamp: 20260308_211127

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
6.62725, -0.750433, 4.65843, 0.0159872, 0.295542, -0.00129435
6.68925, -0.73639, 4.96631, 0.0181955, 0.298585, 0.00247821
6.71321, -0.78367, 5.55317, 0.022804, 0.297924, 0.00666588
6.67684, -0.824696, 5.67704, 0.0301109, 0.295107, 0.0130005
6.67537, -0.785507, 5.80149, 0.0287841, 0.293433, 0.0122843
6.67468, -0.801494, 5.99453, 0.023932, 0.291039, 0.00853578
6.58079, -0.810648, 5.99797, 0.0210493, 0.287578, 0.00249222
6.57406, -0.80249, 6.04782, 0.0211512, 0.285855, -0.00178606
6.5239, -0.803749, 5.57758, 0.0219264, 0.283129, -0.00716459
6.47077, -0.808082, 5.57399, 0.0263148, 0.280651, -0.0120634
6.44226, -0.848276, 5.57182, 0.0297278, 0.280581, -0.0152161
6.43016, -0.829251, 5.25547, 0.0276259, 0.282407, -0.0178418
6.45783, -0.810115, 5.06678, 0.0244625, 0.284323, -0.0176992
6.44352, -0.778554, 4.52283, 0.0219919, 0.284727, -0.0146851
6.39999, -0.76202, 4.51641, 0.0217162, 0.281382, -0.0122063
6.36613, -0.768937, 4.39833, 0.0307096, 0.278391, -0.0157538
6.439, -0.864672, 4.71519, 0.0346671, 0.280793, -0.0127607
6.45981, -0.837391, 4.39968, 0.0375661, 0.283257, -0.00546643
6.40695, -0.80193, 4.17752, 0.0380393, 0.281834, -0.00378996
6.44692, -0.847564, 4.73348, 0.0398012, 0.28232, -0.00333994
6.40208, -0.817481, 4.97404, 0.0337465, 0.277893, -0.00401797
6.32467, -0.771611, 4.90851, 0.0237556, 0.271828, -0.00593826
6.27679, -0.739624, 4.84375, 0.0203064, 0.273442, -0.00750276
6.26742, -0.708611, 4.56276, 0.0152404, 0.271948, -0.0103161
6.301, -0.703557, 4.1049, 0.0201699, 0.276523, -0.0118589
6.51301, -0.846301, 4.62801, 0.0394902, 0.288516, -0.0101204
6.7568, -0.942943, 5.19518, 0.049005, 0.299498, 0.00226862
6.80712, -0.888879, 5.1299, 0.0454898, 0.303621, 0.0103529
6.76438, -0.850491, 4.94049, 0.0340779, 0.298802, 0.0104231
6.68521, -0.807125, 5.14205, 0.0222442, 0.290767, -0.0026678
6.71852, -0.808193, 4.93574, 0.0188181, 0.294112, -0.0117683
6.75314, -0.813775, 4.80428, 0.0223276, 0.294899, -0.0187132
6.56284, -0.85828, 4.55416, 0.0258227, 0.28942, -0.0197858
6.36763, -0.823446, 4.55811, 0.0274592, 0.279282, -0.0169597
6.31595, -0.831106, 4.40628, 0.0320766, 0.279953, -0.00778488
6.44062, -0.853801, 4.89931, 0.0356115, 0.288628, 0.0026704
6.42549, -0.799626, 4.42274, 0.0290304, 0.290657, 0.0115999
6.39596, -0.728036, 4.04813, 0.026808, 0.28657, 0.0135425
6.26939, -0.709207, 3.9834, 0.0312869, 0.282453, 0.0100412
6.05599, -0.754788, 4.3656, 0.0340292, 0.267466, 0.00459509
5.86132, -0.784764, 4.52036, 0.0369347, 0.256442, -0.00429162
5.77904, -0.786779, 4.12836, 0.036178, 0.253201, -0.0121024
5.62504, -0.707917, 3.75199, 0.0274268, 0.247064, -0.0115167
5.44492, -0.681165, 3.94725, 0.0206804, 0.235831, -0.00395413
5.20169, -0.650357, 3.76716, 0.0202243, 0.223934, -0.00638319
4.97002, -0.68532, 3.60299, 0.0238712, 0.21566, -0.0116273
4.834, -0.675471, 3.19589, 0.0295264, 0.214256, -0.0174145
4.7563, -0.650957, 2.76763, 0.0293568, 0.209912, -0.0160956
4.70288, -0.66057, 2.92257, 0.029819, 0.211141, -0.0134086
4.63197, -0.695528, 3.17728, 0.0330953, 0.209609, -0.0101718
4.64851, -0.667651, 3.04459, 0.0339378, 0.212088, -0.00818417
4.65913, -0.68024, 2.96454, 0.0342855, 0.210199, -0.00781177
