# Trial: 100
# Angle[deg]: 0
# Timestamp: 20260312_182331

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
2.09778, -4.84975, -36.9417, 0.18977, 0.118543, -0.0104138
2.24195, -4.90799, -37.1433, 0.194368, 0.131, -0.00544203
2.34636, -5.01378, -37.7162, 0.216007, 0.144933, 0.00181499
2.5591, -5.15375, -38.7783, 0.239956, 0.160489, 0.0126192
2.71927, -4.9963, -39.3736, 0.229026, 0.156, 0.0203233
2.75626, -4.7537, -39.8601, 0.217708, 0.159465, 0.020499
2.78485, -4.57124, -40.0417, 0.209296, 0.15975, 0.0201537
2.83116, -4.48742, -40.9406, 0.203763, 0.161219, 0.0181057
2.86358, -4.49131, -41.5447, 0.194334, 0.162432, 0.0153772
2.84446, -4.52363, -41.3814, 0.171168, 0.161477, 0.00172211
2.8995, -4.76956, -41.4994, 0.179472, 0.162794, -0.0117975
2.98338, -5.15944, -41.79, 0.196335, 0.164205, -0.0203013
3.00306, -5.47661, -42.1582, 0.211308, 0.169485, -0.0248745
3.16348, -5.69661, -42.5316, 0.218806, 0.175804, -0.0232324
3.33799, -5.8169, -42.5461, 0.218479, 0.186125, -0.0188426
3.43717, -5.91704, -42.9195, 0.223104, 0.19265, -0.0163088
3.40881, -6.01537, -43.8025, 0.234565, 0.191004, -0.0149445
3.46504, -6.10766, -44.3185, 0.233622, 0.194212, -0.0112616
3.58439, -6.2427, -45.8804, 0.233871, 0.208039, -0.00494049
3.74576, -6.4776, -47.0096, 0.235706, 0.21227, -0.00641912
3.90291, -6.78725, -48.5586, 0.251105, 0.218764, -0.00901144
4.07688, -7.06192, -49.8668, 0.256313, 0.222755, -0.0111421
4.18564, -7.25144, -49.7801, 0.258813, 0.228552, -0.0147159
4.29372, -7.40554, -49.4438, 0.261761, 0.23547, -0.0193953
4.44537, -7.70259, -49.4284, 0.268854, 0.242477, -0.0236656
4.59446, -8.15829, -49.957, 0.284077, 0.252567, -0.0274018
4.81675, -8.52689, -49.9922, 0.29101, 0.263692, -0.0281276
4.84998, -9.01203, -50.5014, 0.302607, 0.264661, -0.0307225
4.85181, -9.30907, -50.1325, 0.313476, 0.264507, -0.0320429
4.70611, -9.7523, -51.6385, 0.338384, 0.258139, -0.0309603
4.63959, -10.101, -53.0444, 0.356119, 0.257271, -0.0163923
4.45549, -10.3362, -54.4874, 0.369137, 0.252996, -0.002526
4.40597, -10.5214, -55.8947, 0.352608, 0.25418, -0.00227834
4.52724, -10.8825, -56.3377, 0.343372, 0.255749, -0.0161865
4.54521, -11.2798, -56.0154, 0.342375, 0.259208, -0.0273637
4.75169, -11.2566, -53.9119, 0.31747, 0.270717, -0.0325501
4.57035, -11.6928, -53.0818, 0.319567, 0.263311, -0.0390375
4.72137, -12.1218, -53.2727, 0.34031, 0.277451, -0.0459644
4.69537, -12.55, -54.4242, 0.38499, 0.275776, -0.0416981
4.77081, -12.8482, -55.625, 0.44492, 0.289872, -0.0233137
4.85352, -12.7698, -56.3983, 0.452527, 0.292827, 0.00175725
4.67369, -12.8479, -56.9147, 0.432021, 0.28181, -0.00309827
4.56545, -12.7001, -56.1855, 0.364309, 0.28008, -0.0265221
4.68585, -12.5948, -55.1102, 0.331105, 0.284733, -0.0386483
4.51371, -12.5071, -53.5352, 0.309891, 0.275926, -0.0371909
4.42414, -12.5545, -52.9131, 0.315897, 0.273817, -0.034364
4.15254, -12.5931, -52.6804, 0.355806, 0.257913, -0.0236901
3.82845, -12.7705, -53.0659, 0.435201, 0.240926, -0.00128543
3.62076, -12.7523, -54.1926, 0.454721, 0.227892, 0.0151725
3.01077, -12.6044, -53.9147, 0.462254, 0.188759, 0.0199947
2.46863, -12.3359, -53.3288, 0.472004, 0.16217, 0.0202867
2.48505, -12.1496, -53.3985, 0.46496, 0.165707, 0.024731
2.4214, -12.0449, -53.3931, 0.4619, 0.157926, 0.0307855
2.01895, -11.7165, -52.685, 0.475113, 0.137735, 0.0282853
1.79375, -11.4344, -53.1778, 0.490642, 0.122182, 0.0251482
1.40754, -11.0172, -54.1383, 0.495265, 0.102483, 0.0213951
1.36064, -9.96738, -54.7678, 0.465167, 0.0978678, 0.0182557
1.01137, -8.6843, -54.7788, 0.41468, 0.0846105, 0.018524
0.905671, -7.57015, -55.5301, 0.361619, 0.083685, 0.0232414
0.892994, -6.71086, -57.8843, 0.317177, 0.0877768, 0.0261277
1.2161, -6.33359, -60.3815, 0.293179, 0.104384, 0.0257967
1.42263, -6.27551, -61.475, 0.279667, 0.113326, 0.0188127
1.64407, -6.30726, -61.5386, 0.245911, 0.116612, -0.00488795
1.84593, -6.54784, -60.5475, 0.262478, 0.117104, -0.020751
1.86405, -6.52079, -58.6725, 0.277382, 0.115308, -0.0194476
1.90158, -6.33898, -57.993, 0.307339, 0.1281, -0.00427139
1.91551, -5.90809, -57.5226, 0.289621, 0.13243, 0.0156485
1.84126, -5.3503, -57.1751, 0.261605, 0.131502, 0.020493
1.75786, -4.96079, -57.9475, 0.246222, 0.125515, 0.0216906
1.54298, -4.63999, -58.1277, 0.228596, 0.117514, 0.0236525
1.40996, -4.13817, -58.2102, 0.207688, 0.114745, 0.0267071
1.3577, -3.66647, -58.1964, 0.183491, 0.112038, 0.0280255
0.994992, -3.26747, -57.8746, 0.168012, 0.0964602, 0.0295398
0.807179, -2.69882, -57.7737, 0.143057, 0.0911468, 0.0281851
0.694536, -2.32629, -59.4245, 0.126414, 0.0851013, 0.0285281
0.625029, -2.0293, -60.2698, 0.11066, 0.0824555, 0.0283772
0.521874, -1.62787, -60.935, 0.0959659, 0.0775723, 0.0291781
0.3136, -1.44344, -61.3306, 0.0880383, 0.0705251, 0.0284799
0.109017, -1.26942, -62.0206, 0.0765991, 0.0612694, 0.0293834
-0.0403987, -1.09209, -63.4989, 0.0708044, 0.0529664, 0.0294449
-0.128527, -1.07338, -63.5357, 0.0656682, 0.0452613, 0.0284449
-0.256938, -0.9266, -64.263, 0.0649571, 0.042382, 0.0266282
-0.348136, -0.661606, -65.3484, 0.0591769, 0.0427423, 0.0266398
-0.565716, -0.606786, -66.5443, 0.0532495, 0.028035, 0.0305391
-1.08739, -0.414468, -66.452, 0.0496073, 0.00909935, 0.0319497
-1.4955, -0.0744588, -67.0446, 0.0313334, -0.00391764, 0.0326239
-1.82485, 0.238696, -67.7451, 0.0193842, -0.0133983, 0.0321853
-2.29643, 0.503525, -69.5981, 0.00431738, -0.0351616, 0.0336406
-2.4554, 0.823441, -72.4754, -0.011438, -0.0427492, 0.0338195
-2.32576, 1.05702, -74.6847, -0.0279575, -0.036961, 0.0315869
-2.26368, 1.35939, -76.0754, -0.0349872, -0.0333887, 0.0317562
-2.47423, 1.58555, -77.589, -0.0437536, -0.04395, 0.0327302
-2.52245, 1.61812, -78.8526, -0.0524403, -0.0507308, 0.0327231
-2.4529, 1.84512, -79.6882, -0.0608907, -0.0466956, 0.0326875
-2.40291, 2.09516, -80.3917, -0.0739474, -0.0375534, 0.031295
-2.4821, 2.15088, -81.278, -0.077129, -0.0476201, 0.0314899
-2.55759, 2.22022, -82.1653, -0.081175, -0.0506019, 0.031226
-2.48262, 2.46661, -83.7091, -0.0904567, -0.0405655, 0.0310419
-2.4854, 2.57645, -85.0175, -0.0982332, -0.0414114, 0.0317336
-2.74481, 2.58651, -86.2049, -0.0925049, -0.0548402, 0.0331055
-2.91267, 2.60059, -87.7198, -0.0881223, -0.0626391, 0.0299001
-2.71003, 2.90505, -88.5748, -0.0967698, -0.0466048, 0.0298321
-2.96226, 2.99445, -88.9347, -0.0962491, -0.0576637, 0.0268891
-3.35432, 2.89395, -89.4833, -0.0956142, -0.0827331, 0.030389
-3.27575, 3.07715, -90.2377, -0.112368, -0.0778862, 0.0321794
-3.25552, 3.20439, -90.6162, -0.118867, -0.0741462, 0.0316532
-3.3692, 3.20808, -91.0526, -0.114347, -0.0832429, 0.0324811
-3.5827, 3.1521, -91.7493, -0.117988, -0.0956269, 0.0332365
-3.58108, 3.28239, -92.4612, -0.129368, -0.0914483, 0.0311843
-3.62167, 3.2918, -93.617, -0.126686, -0.0916395, 0.0300393
-3.85209, 3.18139, -94.6056, -0.122458, -0.112201, 0.0325457
-3.95055, 3.1885, -95.1261, -0.129563, -0.120124, 0.0316982
-3.89962, 3.13211, -95.5756, -0.12774, -0.121215, 0.0293659
-3.8327, 3.15206, -96.3024, -0.126564, -0.11538, 0.0187603
-3.95653, 3.02058, -96.5087, -0.112297, -0.125487, 0.0144212
-4.03315, 3.02659, -96.9406, -0.114769, -0.138152, 0.0212217
-4.17117, 2.94191, -98.6752, -0.120165, -0.140675, 0.0239858
-4.11851, 2.81293, -99.1489, -0.103183, -0.13995, 0.0218538
-4.2155, 2.84514, -99.2547, -0.100095, -0.133705, 0.0330111
-4.34869, 2.78818, -100.373, -0.103322, -0.142231, 0.0337952
-4.36262, 2.69223, -101.153, -0.0959841, -0.141398, 0.0308617
