# Trial: 5
# Angle[deg]: 10
# Timestamp: 20260308_220256

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
2.81065, -0.476253, -2.79125, 0.00968133, 0.152197, -0.01017
2.88161, -0.48676, -2.57062, 0.00768602, 0.155611, -0.0129309
2.87646, -0.483709, -2.54368, 0.00747146, 0.156113, -0.0127951
2.97838, -0.465493, -2.09469, 0.0047822, 0.160277, -0.0103484
3.07936, -0.485741, -1.81253, 0.0052399, 0.163325, -0.00512013
3.17406, -0.445707, -1.69519, 0.00539243, 0.164643, -0.00355846
3.23799, -0.458861, -1.9523, 0.00930803, 0.16868, -0.000976076
3.34973, -0.507787, -2.13383, 0.0073039, 0.173488, -0.00281118
3.4858, -0.536758, -2.41326, 0.0109556, 0.180524, -0.00455284
3.69601, -0.556046, -2.46947, 0.015184, 0.186901, -0.00685987
3.80744, -0.620678, -2.56158, 0.013254, 0.194238, -0.00875022
3.946, -0.63538, -2.53649, 0.0142474, 0.201922, -0.0099099
4.1148, -0.671646, -2.58033, 0.0208969, 0.206437, -0.00927142
4.26767, -0.718219, -2.50953, 0.0207132, 0.214115, -0.00935345
4.52788, -0.751176, -2.80882, 0.0257529, 0.223506, -0.0128706
4.80683, -0.840491, -3.0882, 0.028279, 0.235541, -0.0138748
5.1721, -0.956145, -3.34989, 0.0340319, 0.252488, -0.0151301
5.51624, -0.983551, -3.35122, 0.037789, 0.264814, -0.0153284
5.71127, -1.03024, -3.30368, 0.0386025, 0.271983, -0.0115968
5.77497, -0.988012, -2.9466, 0.0331364, 0.272456, -0.00190651
5.71627, -0.87331, -2.60245, 0.0253016, 0.271836, 0.00377381
5.76134, -0.774573, -2.21562, 0.018471, 0.27367, 0.00746547
5.7989, -0.670743, -2.05342, 0.0148009, 0.273546, 0.00973229
5.78457, -0.607342, -1.92132, 0.0101613, 0.274093, 0.00837184
5.77291, -0.57943, -1.85191, 0.00921911, 0.272562, 0.00611598
5.74429, -0.599456, -2.04542, 0.00691275, 0.272068, 0.000412056
5.76969, -0.638649, -2.31874, 0.010275, 0.274957, -0.00502975
5.71869, -0.72861, -3.10754, 0.013836, 0.273715, -0.00705127
5.55336, -0.831537, -4.74508, 0.0204104, 0.27255, -0.00780443
5.48145, -0.926004, -5.99397, 0.024436, 0.270469, -0.00404373
5.44404, -0.88742, -6.16999, 0.0249377, 0.269442, -0.000816428
5.46022, -0.8212, -5.02397, 0.0229409, 0.266448, -0.000629212
5.46347, -0.801765, -4.32144, 0.0185401, 0.261202, -0.00550067
5.54918, -0.804083, -3.83185, 0.0169034, 0.263931, -0.00795854
5.52174, -0.790284, -3.60945, 0.0147783, 0.264065, -0.00922724
5.43926, -0.747243, -3.19759, 0.0115199, 0.26303, -0.00893823
5.47258, -0.760299, -2.8494, 0.0113466, 0.264353, -0.00992741
5.3313, -0.725861, -2.69177, 0.0116472, 0.257249, -0.0049641
5.4059, -0.68854, -2.5144, 0.0146459, 0.261039, 0.00298664
5.38197, -0.634205, -1.94774, 0.00863464, 0.259404, 0.00666351
5.51436, -0.547376, -1.29334, 0.00754174, 0.261463, 0.00852358
5.60608, -0.552313, -1.11666, 0.00611078, 0.264031, 0.00659097
5.72942, -0.548395, -0.845709, 0.00320368, 0.264994, 0.000376239
5.91131, -0.54573, -0.393917, 0.00568438, 0.275174, -0.00401107
6.12263, -0.567775, 0.00677464, 0.00576234, 0.283244, -0.00536723
6.3237, -0.58543, 0.481338, 0.00409751, 0.290682, -0.00411491
6.3541, -0.545058, 0.490376, 0.00613598, 0.296531, 0.00595735
6.35513, -0.546922, 0.197608, 0.00480411, 0.294348, 0.0089719
6.33719, -0.489429, -0.122744, 0.00499495, 0.294582, 0.0113679
6.24238, -0.466863, -0.284192, 0.00379561, 0.292182, 0.0109298
6.15308, -0.470195, -0.608148, 0.00381572, 0.288872, 0.00872051
6.15039, -0.434249, -0.628414, 0.00141016, 0.290516, 0.00684677
6.06748, -0.501452, -0.922548, 0.000632263, 0.284789, -0.00213055
6.11662, -0.534859, -1.15632, 0.00715544, 0.287674, -0.00396678
6.08634, -0.587072, -1.24686, 0.00705545, 0.287805, -0.00534034
6.0477, -0.555143, -0.974832, 0.00698133, 0.286418, -0.00178369
6.13148, -0.544654, -1.19252, 0.00858877, 0.292275, 0.00533752
6.06648, -0.535255, -1.31694, 0.00668271, 0.287137, 0.00614739
6.07468, -0.536149, -1.57778, 0.0113096, 0.288271, 0.00429376
6.13838, -0.553581, -1.67751, 0.0107734, 0.290054, 0.00330899
6.12351, -0.589576, -1.98552, 0.0123977, 0.290912, -0.000888739
6.13442, -0.580849, -1.71116, 0.00965704, 0.290571, -0.00389233
6.12725, -0.595808, -1.74521, 0.00534068, 0.291278, -0.00136859
6.19426, -0.594362, -1.78647, 0.00659888, 0.296568, 0.00279739
6.17789, -0.596275, -2.00867, 0.00968393, 0.293835, 0.00387493
6.18356, -0.575538, -2.03461, 0.00993374, 0.294647, 0.00499608
6.14655, -0.553297, -2.31021, 0.0115234, 0.294389, 0.00687976
6.25104, -0.538818, -2.12296, 0.00592108, 0.29664, 0.00745395
6.36268, -0.521042, -1.73742, 0.00321159, 0.299507, 0.00900591
6.42686, -0.53142, -1.73961, 0.00431986, 0.302745, 0.00686259
6.52526, -0.53594, -1.74165, 0.00469644, 0.309578, 0.00537571
6.55769, -0.513423, -1.63835, 0.00442641, 0.310925, 0.00125097
6.56101, -0.515282, -1.6856, 0.00361958, 0.311636, -0.0012269
6.73246, -0.535317, -1.81548, 0.00451872, 0.320744, 0.00449103
6.84074, -0.498735, -1.44465, 0.00178618, 0.3226, 0.00950157
6.83683, -0.393463, -0.682704, -0.00257967, 0.318259, 0.0111779
6.84596, -0.344951, -0.693255, -0.00276892, 0.320935, 0.0099386
6.8717, -0.39353, -0.742791, -0.00520453, 0.324088, 0.00528283
6.95302, -0.421834, -0.579581, -0.00433286, 0.324715, -0.00214095
7.02994, -0.392711, -0.402164, -0.00610254, 0.331454, -0.00282406
7.04871, -0.412448, 0.0222144, -0.00866831, 0.329531, 0.00114058
7.04649, -0.321727, 0.581716, -0.00649154, 0.324621, 0.00547242
7.1212, -0.354737, 0.564671, -0.00644194, 0.329393, 0.00680067
7.22628, -0.403276, 0.178867, 0.00165478, 0.337733, 0.00542971
7.24039, -0.371636, 0.439653, 0.000491484, 0.338083, 0.00699229
7.25806, -0.388886, 0.681023, -0.00153637, 0.338284, 0.00684304
7.28325, -0.39691, 0.643698, -0.000109708, 0.33769, 0.00500376
7.2474, -0.352686, 1.12138, -0.00366139, 0.335321, -0.000841059
7.15795, -0.332674, 1.512, -0.00772466, 0.329333, -0.00447488
7.27389, -0.35753, 1.3049, -0.00477756, 0.334964, -0.00549728
7.37465, -0.356925, 1.50916, -0.000707963, 0.340531, -0.00727227
7.51701, -0.418119, 1.48413, 0.00333723, 0.348217, -0.00525153
7.67682, -0.397498, 1.34988, 0.00552451, 0.354909, 0.00516747
7.76926, -0.379233, 1.68492, 0.00154936, 0.360255, 0.0105077
7.82028, -0.346521, 1.49527, 0.00396577, 0.363207, 0.00895054
7.95378, -0.422821, 1.17773, 0.00547931, 0.368237, 0.00471565
8.03493, -0.418289, 1.08579, 0.00933741, 0.370972, 0.00201915
8.07702, -0.429156, 1.02092, 0.00709319, 0.374644, 0.000368105
8.11423, -0.443314, 0.812735, 0.00454628, 0.377662, -0.00135017
8.22266, -0.459782, 0.777193, 0.00347417, 0.384541, -0.000141118
8.32027, -0.448194, 0.675164, 0.00430687, 0.387379, 0.00612333
8.41536, -0.464692, 0.696356, 0.0035084, 0.391289, 0.0102635
8.51338, -0.439707, 0.303137, 0.0070733, 0.394456, 0.0112315
8.44586, -0.422897, 0.339479, 0.00242488, 0.392439, 0.0122474
8.54946, -0.376475, 0.445899, 0.00238579, 0.393792, 0.0117819
8.53115, -0.412372, 0.284531, 0.00428122, 0.391842, 0.0109343
8.52274, -0.396657, 0.129777, 0.000590911, 0.393598, 0.00898693
8.50071, -0.352891, 0.356618, -0.00505833, 0.394383, 0.00363348
8.45897, -0.389682, 0.460102, -0.00495653, 0.391329, -0.00117753
8.45355, -0.373895, 0.323061, -0.00424925, 0.392297, -0.00407096
8.48948, -0.386706, 0.0675996, -0.0059969, 0.394898, 0.000991103
8.50648, -0.371871, 0.190041, -0.00659097, 0.397191, 0.00783087
8.53593, -0.342549, 0.223781, -0.00574324, 0.396203, 0.00563162
8.51606, -0.403667, 0.0637341, -0.000797221, 0.396811, -0.00384227
8.57384, -0.389642, 0.355373, 0.00115267, 0.396191, 0.00150191
8.65473, -0.352953, 0.543751, -0.0023285, 0.400654, 0.0127375
8.72255, -0.384108, 0.319026, -0.00459396, 0.403614, 0.0124656
8.72061, -0.366925, 0.304543, -0.00387391, 0.401537, 0.00635009
8.72132, -0.371925, 0.544364, -0.00186425, 0.403557, -0.00557422
8.87132, -0.376457, 0.63457, -0.000235008, 0.409594, -0.00425885
8.96366, -0.393356, 0.422132, 0.00310471, 0.414479, 0.00804644
8.97298, -0.415388, 0.412025, 0.00308392, 0.415426, 0.00680587
9.00209, -0.443439, 0.4585, 0.00710279, 0.412841, -0.00183408
9.1057, -0.471423, 0.228487, 0.0110632, 0.419525, 0.00123391
9.12481, -0.399326, 0.549671, 0.00548349, 0.418442, 0.0107559
9.12308, -0.432091, 0.308369, 0.00222908, 0.421663, 0.0118564
9.11816, -0.418119, 0.18131, 0.00291241, 0.420245, 0.0098951
9.10103, -0.431033, 0.0649085, 0.00534045, 0.419582, -0.000239867
9.15382, -0.454128, 0.044153, 0.00474717, 0.421487, -0.00301116
9.22909, -0.460969, -0.141898, 0.00406983, 0.422395, -0.000479056
9.18947, -0.443634, 0.256022, 0.00148157, 0.418771, -0.00580279
9.18617, -0.423408, 0.346712, 0.00329181, 0.419075, -0.00476367
9.15877, -0.456459, 0.29215, 0.008355, 0.4196, 0.00295252
9.18105, -0.461147, 0.249879, 0.0100911, 0.420976, 0.00551253
9.15729, -0.464955, -0.0278859, 0.0108272, 0.419685, 0.00505042
9.11926, -0.498881, -0.974939, 0.00911008, 0.4214, 0.00753338
9.06409, -0.49035, -1.61036, 0.00613044, 0.422487, 0.00838178
9.00629, -0.53698, -2.37286, 0.00738356, 0.421735, 0.00633449
9.06566, -0.513912, -2.02883, 0.00451849, 0.423601, 0.00159602
8.97352, -0.52453, -1.63019, 0.00448211, 0.418408, -0.00376409
9.03834, -0.534418, -1.7549, 0.00430122, 0.423302, -0.00252928
9.12073, -0.501844, -2.05243, 0.00307093, 0.428284, 0.00589363
9.01992, -0.472592, -1.79002, -0.000346073, 0.425134, 0.0089336
8.93589, -0.437669, -1.64169, -0.00424428, 0.419112, 0.00483598
8.96788, -0.440187, -1.38392, -0.00610649, 0.418824, 0.00311578
9.00283, -0.438199, -1.07812, -0.00584075, 0.417297, 0.00450651
8.94154, -0.417937, -1.06502, -0.00424258, 0.411633, 0.00821456
8.9542, -0.405811, -0.812187, -0.000983533, 0.41261, 0.010103
8.91073, -0.395033, -0.499237, 0.00178686, 0.40831, 0.00876367
9.01242, -0.360226, 0.265123, -0.00302935, 0.405704, 0.00361122
8.97527, -0.33468, 0.638676, -0.00370082, 0.406065, 0.000982177
8.93117, -0.343065, 0.191545, -0.00455882, 0.40744, 0.00171782
8.81947, -0.375239, -0.224782, -0.00643257, 0.404146, -0.00343101
8.70762, -0.42243, -0.23661, -0.00122261, 0.399892, -0.00821038
