# Trial: 1
# Angle[deg]: 20
# Timestamp: 20260306_190127

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
3.6455, -0.213065, 4.28712, 0.0210361, 0.165581, -0.0128048
3.6861, -0.23318, 4.32582, 0.0207624, 0.169858, -0.00934192
3.68159, -0.212265, 4.47111, 0.0205178, 0.171954, -0.00692755
3.76732, -0.202238, 4.5864, 0.0234107, 0.170723, -0.00835229
3.73158, -0.246578, 4.52071, 0.0239266, 0.169122, -0.0121025
3.70798, -0.23842, 4.32398, 0.024815, 0.168697, -0.0119889
3.72866, -0.249011, 4.53187, 0.0254572, 0.170349, -0.00991046
3.71313, -0.245973, 4.5774, 0.0242195, 0.171571, -0.00885315
3.76267, -0.206598, 4.63846, 0.0181894, 0.173455, -0.00917855
3.79321, -0.138211, 4.75315, 0.00632071, 0.172866, -0.00878095
3.79619, -0.12278, 4.84058, -0.00203418, 0.170872, -0.00979375
3.8079, -0.119226, 4.93654, -0.00458741, 0.171303, -0.0120494
3.76081, -0.156542, 4.7389, -0.00113425, 0.167628, -0.0138358
3.78067, -0.168988, 4.75705, 0.00594402, 0.168873, -0.0146059
3.86851, -0.197523, 5.13181, 0.0130363, 0.169976, -0.0169754
3.92447, -0.225707, 5.17797, 0.0144592, 0.173918, -0.0153877
4.02913, -0.233741, 5.25309, 0.0204962, 0.184829, -0.0115701
4.27643, -0.232206, 5.30849, 0.0187531, 0.197866, -0.00780217
4.45082, -0.22323, 5.30917, 0.0125021, 0.207338, -0.00484728
4.59446, -0.197817, 5.50194, 0.00855273, 0.214749, -0.00769201
4.76232, -0.197292, 5.55018, 0.00426732, 0.222506, -0.011836
4.94583, -0.140733, 5.33365, -0.00245663, 0.232759, -0.0109287
5.09514, -0.137606, 5.214, -0.00564822, 0.243758, -0.00303974
5.31115, -0.102162, 5.2914, -0.00539197, 0.25328, 0.00461238
5.49041, -0.0655623, 5.38306, -0.00561173, 0.260268, 0.00814327
5.59932, -0.0782754, 5.13118, -0.00587939, 0.263159, 0.00745056
5.60439, -0.129025, 5.06276, -0.00212366, 0.257935, 0.00012112
5.62721, -0.144367, 4.9044, 0.00567308, 0.256643, -0.00775291
5.69393, -0.195815, 5.06269, 0.0114564, 0.258063, -0.0117222
5.82573, -0.223523, 5.13831, 0.0133414, 0.265538, -0.00695433
6.00179, -0.195989, 5.3112, 0.00862458, 0.277473, -0.00175217
6.0703, -0.164566, 5.29363, 0.00687784, 0.279591, -0.000592492
6.12062, -0.167658, 5.55461, 0.00653312, 0.275797, -0.00889676
6.18208, -0.234203, 5.93238, 0.00825298, 0.271748, -0.0174234
6.33844, -0.275034, 6.33092, 0.00944655, 0.282733, -0.0213229
6.59375, -0.252877, 6.31414, 0.0120845, 0.295069, -0.0187522
6.81334, -0.249999, 6.38078, 0.0119441, 0.311418, -0.0126501
6.99794, -0.261507, 6.76087, 0.0121842, 0.320708, -0.00726074
7.18861, -0.309494, 7.16096, 0.0186906, 0.328152, -0.010506
7.43289, -0.316229, 7.22803, 0.0238266, 0.338689, -0.0147463
7.62934, -0.324573, 7.26112, 0.0230305, 0.34551, -0.0165013
7.76399, -0.329168, 7.34985, 0.0179438, 0.352633, -0.0156753
7.90832, -0.297911, 7.38008, 0.0163929, 0.357538, -0.0108782
8.09174, -0.324582, 7.6298, 0.0179899, 0.368063, -0.01105
8.32265, -0.383917, 7.66884, 0.0191256, 0.378368, -0.0162286
8.49564, -0.394735, 7.74839, 0.019363, 0.386958, -0.0163005
8.63797, -0.379371, 7.64491, 0.0215025, 0.397724, -0.0110883
8.8657, -0.370951, 7.44418, 0.0239919, 0.408662, -0.00433681
