Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.160892, 0.723192, -0.253402, 0.00792351, -0.00148055, -0.000190379
0.147174, 0.888933, -0.323288, 0.00764105, 0.00109561, 0.00267175
0.128549, 1.00318, -0.365364, 0.00698935, 0.000645934, 0.00613575
0.157276, 0.911579, -0.313724, 0.00739203, 0.000357597, 0.00345575
0.173596, 0.768048, -0.2094, 0.00535989, 0.000701297, -0.000211621
0.173716, 0.631914, -0.00427029, 0.00705794, -0.00443658, -0.00239031
0.223701, 0.725598, -0.0667767, 0.0068636, -0.00407073, -0.00152948
0.283952, 0.766678, -0.0576979, 0.00756953, -0.00499178, -0.00117922
0.2884, 0.729548, -0.04845, 0.00685298, -0.00427252, -0.000867497
0.269536, 0.735078, -0.119617, 0.00771201, -0.00418236, -0.000518826
0.259327, 0.735029, -0.00326499, 0.00772715, -0.00378183, -0.000602548
0.273668, 0.750117, -0.093168, 0.00685908, -0.00335712, -0.000690676
0.273454, 0.755379, -0.0754196, 0.00666475, -0.00410598, -0.000860944
0.259082, 0.729273, 0.0147503, 0.00739915, -0.00362828, -0.000457815
0.250542, 0.763622, -0.146658, 0.00885417, -0.00441612, -0.000827727
0.250217, 0.718148, -0.173952, 0.00881383, -0.00347756, -0.0014357
0.258553, 0.729757, -0.0301634, 0.00662769, -0.00286936, -0.000428551
0.134559, 0.696907, -0.227469, 0.00659108, -0.00114171, -0.00116928
0.166933, 0.316366, -1.17212, 0.00521967, 0.00921323, -0.00662328
0.222807, -0.123051, -2.30375, 0.00102918, 0.0220462, -0.0105236
0.180736, -0.336628, -3.04072, -0.00157975, 0.0306092, -0.0135076
0.237735, -0.560618, -3.63508, -0.00362772, 0.0377932, -0.0171432
0.433897, -0.754023, -4.12141, -0.00568449, 0.0436782, -0.0196537
0.527457, -1.06325, -4.6852, -0.00725532, 0.0486978, -0.0198311
0.46286, -1.2313, -5.08893, -0.00720075, 0.0532702, -0.0213277
0.427416, -1.51716, -5.42348, -0.0127579, 0.0581679, -0.0250522
0.502409, -1.85008, -6.38397, -0.0187618, 0.0664849, -0.0273363
0.674324, -2.24648, -7.4993, -0.0264156, 0.0797971, -0.0317969
0.779653, -2.53168, -8.50545, -0.0313475, 0.0889011, -0.0348119
0.763146, -2.43826, -9.042, -0.0358983, 0.0953803, -0.0324273
0.780707, -2.30129, -9.53455, -0.0409817, 0.101101, -0.0305209
0.874062, -2.36279, -9.95557, -0.0431327, 0.105299, -0.0300143
0.892029, -2.43366, -10.5032, -0.0461116, 0.1103, -0.0308908
0.950113, -2.50388, -10.8261, -0.0483312, 0.115511, -0.0309439
1.10432, -2.79448, -11.6894, -0.0536279, 0.123847, -0.0343336
1.31997, -3.16227, -12.7312, -0.0568267, 0.135395, -0.0372382
1.48949, -3.51869, -13.5419, -0.0603558, 0.143584, -0.0423747
1.59176, -3.79202, -13.894, -0.0609695, 0.149317, -0.0459801
1.73107, -3.99422, -14.2451, -0.0594536, 0.152305, -0.0484629
1.76872, -4.13478, -14.4261, -0.0609596, 0.156308, -0.0505076
1.82255, -4.37099, -14.6168, -0.0597752, 0.158554, -0.0544146
2.02036, -4.57199, -14.9702, -0.0583029, 0.160824, -0.0592092
2.14469, -4.6556, -15.4002, -0.0586834, 0.165256, -0.058985
2.16575, -4.66497, -15.5349, -0.0570109, 0.167261, -0.0595031
2.1379, -4.63928, -15.0951, -0.0538043, 0.163777, -0.0591869
