Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.260412, 0.751847, -0.191505, 0.00869746, -0.00511369, -0.00094896
0.273868, 0.725941, -0.0484278, 0.00733904, -0.00498512, -0.00103528
0.238896, 0.75803, -0.110258, 0.00621258, -0.00308268, 0.000236703
0.264135, 0.760797, -0.0742453, 0.00674158, -0.0039956, 0.000387425
0.284628, 0.736719, -0.0469554, 0.00746186, -0.00601689, 0.000539616
0.272796, 0.748934, -0.0305726, 0.00581126, -0.004844, -0.000736322
0.255417, 0.743147, -0.136961, 0.00834088, -0.00460831, -4.65497e-05
0.290745, 0.735158, -0.101064, 0.00924702, -0.00474344, -4.34992e-05
0.26035, 0.740424, -0.0837689, 0.00882253, -0.00467735, -0.000705364
0.222896, 0.719295, -0.38881, 0.0116917, -0.00176821, -0.00177748
0.185749, 0.698326, -0.746741, 0.0143026, 0.00159444, -0.0018725
0.238696, 0.648706, -0.907224, 0.0182979, 0.00280022, -0.00171974
0.373192, 0.689817, -1.10372, 0.0178926, 0.00398723, -0.000393752
0.445592, 0.760477, -1.05689, 0.0205082, 0.00407683, 0.00198458
0.505923, 0.756954, -1.18292, 0.021697, 0.0050006, 0.00132972
0.580021, 0.685462, -1.22727, 0.0210073, 0.00401435, 0.00172517
0.555716, 0.578322, -1.41518, 0.0215186, 0.00398769, 0.00120668
0.402818, 0.575182, -1.67621, 0.0231645, 0.00709488, -0.000764455
0.258526, 0.591226, -2.21396, 0.0283861, 0.00760117, -0.00238827
0.317398, 0.558483, -3.22536, 0.0384991, 0.014081, -0.002908
0.804421, 0.252961, -5.78712, 0.0629231, 0.0247627, 0.00311748
1.18006, -0.185171, -11.1791, 0.112865, 0.0328164, 0.0131675
2.21918, 0.290287, -15.3602, 0.156853, 0.0186931, 0.0217396
3.55152, 1.16285, -17.8419, 0.183762, 5.02782e-05, 0.0235534
2.90266, 1.67302, -19.6481, 0.19594, -0.0148806, 0.0143791
2.12978, 1.7844, -20.5892, 0.201839, -0.0307972, 0.00956247
1.70713, 1.73133, -22.4359, 0.225037, -0.0316648, 0.00219383
2.07664, 1.47667, -25.202, 0.268772, -0.0511165, -0.00493122
2.89424, 1.54357, -28.1451, 0.317563, -0.0831206, -0.00833647
3.70665, 1.46359, -31.3124, 0.366628, -0.106271, -0.0123662
5.05958, 0.989418, -36.0463, 0.425019, -0.138841, -0.0179461
6.1574, 0.853912, -39.7529, 0.471567, -0.161157, -0.0134099
7.18011, 0.727008, -42.5003, 0.512657, -0.174107, -0.00641776
7.76039, 0.316358, -44.5652, 0.553815, -0.184528, -0.00960473
8.54492, -0.192617, -47.4878, 0.591431, -0.223086, -0.0119645
9.67894, -0.968756, -51.1338, 0.628491, -0.283409, -0.013622
10.1721, -1.50163, -54.4385, 0.655397, -0.362496, -0.024489
9.99707, -1.82987, -56.4386, 0.671068, -0.388594, -0.034132
10.3814, -1.91762, -58.5966, 0.688136, -0.408304, -0.037139
10.8235, -1.76063, -61.5425, 0.71222, -0.454963, -0.0414997
11.8573, -1.6068, -65.0234, 0.741646, -0.499381, -0.0422439
12.6284, -1.05738, -67.776, 0.761691, -0.552353, -0.0474588
13.1347, -0.652532, -69.9606, 0.778947, -0.607871, -0.0497925
13.671, -0.282698, -71.1939, 0.793538, -0.606029, -0.0457476
13.7182, -0.340685, -71.0623, 0.796242, -0.541268, -0.0351854
14.5369, 0.13378, -73.2354, 0.812021, -0.574475, -0.0317789
15.5167, 0.936569, -75.453, 0.81222, -0.625537, -0.0439773
15.7692, 1.85672, -76.1442, 0.803251, -0.649343, -0.0598826
16.4529, 2.48853, -77.8258, 0.803508, -0.665952, -0.0729099
17.4297, 2.66031, -79.1873, 0.809787, -0.678089, -0.0807347
17.6846, 3.01293, -79.3337, 0.804009, -0.684151, -0.0906799
18.2979, 3.81282, -80.422, 0.80174, -0.721567, -0.101675
18.6092, 4.32531, -81.1036, 0.794763, -0.700386, -0.1159
18.5929, 4.54455, -80.9811, 0.772663, -0.650997, -0.130398
18.3203, 4.93385, -80.6294, 0.748199, -0.639414, -0.141369
17.6693, 4.89387, -79.0245, 0.723312, -0.62441, -0.136635
16.1126, 4.04802, -76.1202, 0.698869, -0.538103, -0.123407
14.7485, 3.44541, -73.5872, 0.673849, -0.445507, -0.112144
13.8317, 2.6985, -70.9269, 0.640941, -0.358283, -0.106939
12.4616, 2.08518, -67.1439, 0.592316, -0.244852, -0.10436
10.5315, 2.21251, -61.2607, 0.523387, -0.11991, -0.100617
8.98213, 2.27653, -54.8041, 0.453574, -0.0367087, -0.0888769
6.9527, 1.62796, -47.483, 0.374498, 0.0581509, -0.074586
4.52699, 0.221922, -39.0791, 0.291757, 0.154425, -0.0462187
2.87257, -0.364229, -31.6279, 0.225973, 0.177977, -0.0228816
1.44261, -0.650281, -24.5515, 0.168482, 0.156781, -0.0194406
0.181754, -1.26945, -17.6544, 0.125605, 0.11313, -0.0211013
-0.914861, -1.65813, -11.1615, 0.0887347, 0.0615504, -0.0239526
-1.38232, -1.28481, -6.09938, 0.0556455, 0.0181397, -0.0189646
-1.29804, -0.0475871, -3.11599, 0.029452, -0.00318109, -0.00872401
-1.06297, 0.794928, -1.71017, 0.0111505, -0.0147258, -0.00200808
0.0547042, 0.810092, -0.628903, 0.0100978, -0.00732628, -0.000182245
0.297123, 0.727658, -0.334413, 0.0109495, -0.00402983, -0.000822756
0.271382, 0.735162, -0.298716, 0.00977206, -0.00476852, -0.000867836
0.275051, 0.726452, -0.137379, 0.00837647, -0.00438867, -0.000502331
0.280781, 0.723957, -0.253771, 0.00911132, -0.00428676, -0.000576901
0.266698, 0.743285, -0.199383, 0.00988165, -0.00503336, 4.51939e-06
0.284095, 0.725985, -0.173338, 0.00706528, -0.0052347, -0.000475214
0.278988, 0.746105, -0.0833908, 0.00680451, -0.0049075, 8.9258e-05
0.268913, 0.740068, -0.0925808, 0.00673887, -0.00507539, -0.000226083
0.405291, -1.59225, -8.96745, 0.0085038, -0.16616, 0.0447903
3.08397, -3.48528, -16.6379, 0.0227008, -0.277111, 0.0774268
3.78154, -0.707089, -15.488, -0.00649877, -0.234027, 0.0179667
3.65199, 1.44358, -14.4755, -0.0257895, -0.200363, -0.0237794
4.13174, 2.41354, -17.3486, -0.0380867, -0.2233, -0.0347863
5.36732, 1.41966, -24.9516, -0.0508434, -0.31021, -0.0106315
5.51413, 1.96782, -31.2167, -0.0446458, -0.373173, -0.00882886
5.97759, 2.86453, -36.9418, -0.0373037, -0.423904, -0.0297439
6.96386, 2.97667, -41.4322, -0.0241764, -0.456649, -0.0344129
7.96064, 3.22722, -45.1163, -0.00931842, -0.478787, -0.0471263
9.25954, 3.81323, -49.5081, -0.0147664, -0.518586, -0.0651795
9.48953, 3.83269, -55.2104, -0.00135356, -0.590986, -0.0305641
9.01259, 4.45987, -59.2221, -0.0167606, -0.647371, -0.0109473
9.08705, 5.52865, -61.0706, -0.0698703, -0.671544, -0.0220454
8.68163, 5.95545, -62.8495, -0.0633315, -0.689223, -0.0200858
8.62931, 5.85187, -65.3197, -0.0398536, -0.717802, -0.0151991
8.98271, 5.0612, -67.7591, -0.0112047, -0.753462, -0.00940339
10.1189, 5.07831, -70.7062, 0.012333, -0.787224, -0.0221898
10.486, 5.60758, -72.0053, -0.00231065, -0.795468, -0.0269163
11.0506, 6.19059, -73.848, -0.0296968, -0.79044, -0.0345945
11.8043, 6.29765, -76.0816, -0.0157577, -0.792801, -0.0476275
12.5, 6.35071, -77.4033, -0.00237788, -0.791011, -0.0623979
13.7193, 6.47601, -79.2299, -0.0137395, -0.793926, -0.0752459
14.7924, 6.68133, -81.0211, -0.0428947, -0.81222, -0.0868596
14.2136, 6.7769, -80.8285, -0.0572195, -0.815954, -0.0813105
14.1408, 7.52818, -80.5303, -0.0958062, -0.802176, -0.0872603
14.93, 7.78085, -81.7365, -0.111902, -0.806298, -0.097543
15.5293, 6.9737, -80.9082, -0.061485, -0.802299, -0.102431
15.3538, 6.4176, -77.7642, -0.0363668, -0.778283, -0.0976493
14.5351, 6.51604, -73.689, -0.0509676, -0.739501, -0.0943085
12.8884, 6.0731, -69.1119, -0.0509356, -0.695155, -0.0785158
11.3527, 5.92542, -64.7631, -0.0484424, -0.645239, -0.0751994
9.57256, 5.39776, -60.0394, -0.0358626, -0.597751, -0.0680512
8.31354, 4.87427, -54.5894, -0.0156554, -0.540867, -0.0683603
7.00608, 4.06575, -48.5001, 0.0221079, -0.487894, -0.0598415
5.3856, 3.362, -41.3657, 0.0516918, -0.419162, -0.0428124
4.14917, 2.39258, -33.2796, 0.0715084, -0.334849, -0.0302042
3.06429, 1.60016, -25.3079, 0.078334, -0.255472, -0.0124177
2.14893, 1.11132, -18.0721, 0.0682208, -0.18229, -0.00159557
1.44387, 0.835292, -11.9699, 0.0594087, -0.120572, 0.0043019
0.839806, 0.353006, -7.48184, 0.0499452, -0.0712242, 0.00645833
0.178556, 0.0179619, -4.17813, 0.0334576, -0.0389244, 0.00665085
-0.483731, 0.209587, -1.69037, 0.0101691, -0.0126968, -0.000650567
-0.24423, 0.623191, -0.460742, 0.00525526, -0.00666362, 0.00623755
-0.045492, 0.761745, -0.185758, 0.00755823, -0.00494794, 0.00447578
0.258028, 0.693411, -0.156106, 0.00591329, -0.00563614, -0.00129187
0.279789, 0.727418, -0.199049, 0.00708483, -0.00696258, 0.000634975
0.303293, 0.743676, -0.173196, 0.00597068, -0.00503641, 7.79595e-06
0.300664, 0.717547, -0.244225, 0.00875508, -0.00556665, 5.67184e-05
0.29445, 0.731363, -0.173383, 0.00763789, -0.00625891, -0.000625371
0.28276, 0.720149, -0.119328, 0.00518691, -0.0047753, 0.000114002
0.287715, 0.723236, -0.0834175, 0.00522238, -0.00454753, 0.000251165
0.303983, 0.708001, -0.0747212, 0.00734718, -0.00667187, -0.000527413
0.288658, 0.722565, -0.11899, 0.00624546, -0.00574279, 0.000275118
-0.754623, -0.31634, -5.26307, -0.00354806, -0.116253, 0.020348
1.19152, -3.00593, -18.5722, -0.0252704, -0.389044, 0.0832232
2.84286, 0.296665, -12.7278, -0.0576728, -0.249608, 0.000125187
2.81751, 1.45326, -12.4927, -0.0688496, -0.232174, -0.0371023
1.82821, 0.860771, -12.6685, -0.0397152, -0.237564, -0.0156792
1.93164, -0.376524, -15.8192, -0.0303289, -0.302059, 0.0129467
1.64095, -0.144438, -18.8209, -0.0157709, -0.353038, 0.0151366
2.23828, 0.469123, -22.9868, -0.0311016, -0.415549, 0.00674011
3.7295, 0.573349, -26.5793, -0.0568324, -0.459068, -0.00764896
4.81218, 1.05432, -28.4602, -0.0606299, -0.474598, -0.031403
5.85113, 1.12067, -31.817, -0.0659365, -0.521685, -0.0382433
6.84011, 1.3536, -36.916, -0.0814318, -0.59429, -0.0400983
8.06143, 2.88174, -43.2241, -0.117857, -0.674595, -0.0612983
8.98343, 3.80976, -47.0998, -0.14903, -0.722789, -0.0789215
9.56929, 4.50921, -50.6887, -0.162229, -0.768396, -0.10118
10.9562, 5.59348, -56.1162, -0.194365, -0.836253, -0.130189
12.1257, 5.56017, -60.9281, -0.20578, -0.915219, -0.133358
13.2007, 6.18945, -65.9999, -0.208236, -0.998748, -0.145061
13.7469, 6.96435, -69.1258, -0.217337, -1.04491, -0.161058
13.6701, 6.98094, -70.3446, -0.217406, -1.06325, -0.163473
13.8672, 7.37212, -73.0649, -0.218925, -1.09091, -0.169901
13.8808, 7.76009, -75.0478, -0.205513, -1.11395, -0.175663
13.942, 7.21139, -76.0625, -0.165778, -1.14116, -0.170054
14.5569, 6.85172, -76.8668, -0.134066, -1.1554, -0.173913
14.6114, 6.88189, -76.8647, -0.114595, -1.15789, -0.174635
14.2027, 6.95831, -76.393, -0.112196, -1.14561, -0.168629
14.1263, 7.27467, -75.3221, -0.123426, -1.11254, -0.167326
13.8548, 7.18752, -74.5675, -0.119526, -1.09948, -0.165797
13.1739, 6.8964, -73.5575, -0.0915917, -1.09781, -0.156548
12.493, 6.52191, -72.3162, -0.075531, -1.08927, -0.146987
11.8209, 6.12978, -70.4683, -0.0702569, -1.07214, -0.128092
11.5014, 6.29836, -69.4253, -0.0874924, -1.05338, -0.129484
10.8786, 6.34573, -67.8327, -0.0844201, -1.03555, -0.132055
9.79897, 5.53082, -65.2691, -0.0461242, -1.02277, -0.113249
8.83729, 4.81603, -61.6286, 0.00656623, -0.993422, -0.0922027
