# Trial: 4
# Angle[deg]: 40
# Timestamp: 20260308_211308

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
3.23847, -1.40367, -8.26797, 0.0269355, 0.172713, 0.00889891
3.15973, -1.42015, -8.23944, 0.0268047, 0.168329, 0.0100727
3.04769, -1.41336, -8.52427, 0.0274875, 0.160226, 0.0109543
3.00054, -1.46149, -8.97002, 0.0284724, 0.158546, 0.0124706
2.94596, -1.52951, -9.19247, 0.0271616, 0.158123, 0.0136758
2.9369, -1.50866, -9.31865, 0.0214679, 0.159881, 0.0139035
2.96946, -1.44636, -9.29149, 0.0180651, 0.162109, 0.0153188
3.07971, -1.44275, -9.23185, 0.0149079, 0.168186, 0.0133224
3.11501, -1.45637, -9.25244, 0.0105681, 0.172531, 0.011478
3.13161, -1.42071, -9.27437, 0.0083959, 0.172599, 0.00773381
3.25347, -1.34421, -8.54493, 0.00356648, 0.180134, 0.00451646
3.47068, -1.25447, -7.92357, 0.000361551, 0.190974, 0.000975398
3.5438, -1.2698, -7.70281, 0.00141208, 0.195254, -0.00209225
3.59859, -1.32193, -8.04405, 0.0087326, 0.19989, -0.00400622
3.59133, -1.37228, -8.3965, 0.0137944, 0.200078, -0.00847861
3.6415, -1.59441, -9.16812, 0.0213416, 0.204543, -0.0118349
3.5874, -1.68385, -9.7946, 0.0275162, 0.208662, -0.0126988
3.67392, -1.71855, -9.954, 0.029077, 0.210341, -0.0107992
3.62555, -1.73639, -9.80744, 0.0361567, 0.206751, -0.00888501
3.61359, -1.7234, -9.69832, 0.0394384, 0.205079, -0.00770794
3.66436, -1.75385, -9.93965, 0.0403056, 0.209438, -0.00703274
3.67361, -1.79351, -10.0816, 0.0382543, 0.210875, -0.00536282
3.66827, -1.77656, -10.0534, 0.0366535, 0.206907, -0.0038242
3.58509, -1.89386, -10.5862, 0.0482045, 0.200972, -0.00210875
3.45096, -1.88204, -10.6904, 0.0520807, 0.188338, -0.000422676
3.3084, -1.88231, -10.7386, 0.0568576, 0.175809, 0.00341937
