# Trial: 3
# Angle[deg]: 50
# Timestamp: 20260308_204640

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
6.99319, -1.03002, -12.4208, 0.0375504, 0.325278, 0.00531978
6.99849, -0.957328, -11.5183, 0.0335502, 0.324531, -0.00548383
6.95831, -0.925212, -11.3262, 0.0295867, 0.325702, -0.0100394
7.00096, -0.970864, -11.5166, 0.0279435, 0.328824, -0.0120774
6.92044, -0.992492, -11.6767, 0.0251542, 0.325396, -0.0110965
6.80308, -0.947894, -11.4975, 0.0146931, 0.318598, -0.000338164
6.65498, -1.00613, -11.8128, 0.0172057, 0.3107, 0.00556439
6.53963, -1.01226, -11.9458, 0.0211075, 0.30455, 0.0055662
6.47574, -1.04103, -11.8567, 0.0215824, 0.303691, -0.00505528
6.44473, -1.03947, -11.4526, 0.0263, 0.304278, -0.0142838
6.42493, -1.03664, -10.978, 0.0276669, 0.301005, -0.0147716
6.29314, -1.04637, -10.7361, 0.0312978, 0.294541, -0.0161291
6.20715, -1.08439, -10.849, 0.0334962, 0.292671, -0.0132901
6.12122, -1.06487, -10.9033, 0.0312151, 0.285683, -0.0142716
6.04101, -1.10294, -10.8606, 0.0315951, 0.28237, -0.0171865
5.96095, -1.20429, -11.3636, 0.0376461, 0.28203, -0.0205116
5.8923, -1.38224, -12.1511, 0.0437678, 0.279289, -0.0220728
5.8909, -1.3136, -11.6763, 0.0428231, 0.279311, -0.0214485
5.89045, -1.20378, -10.5643, 0.0369798, 0.27843, -0.0184287
5.80045, -1.22016, -10.6005, 0.0371226, 0.272269, -0.0100022
5.63645, -1.28221, -11.2079, 0.0491661, 0.262387, -0.00218016
5.46286, -1.30626, -11.5355, 0.0528973, 0.257597, 0.000264723
5.31763, -1.32763, -11.8173, 0.0599919, 0.252885, -0.00624196
5.23852, -1.37949, -11.9524, 0.0594049, 0.247959, -0.017361
5.24181, -1.36395, -12.0803, 0.0582898, 0.248672, -0.0197864
5.27059, -1.41378, -12.3743, 0.0553133, 0.251545, -0.017687
5.27415, -1.43483, -12.9076, 0.0563282, 0.254746, -0.0134012
5.20857, -1.46034, -13.2866, 0.0495906, 0.251338, -0.00630602
5.07765, -1.45788, -13.3551, 0.0515488, 0.246553, -0.00400475
5.06598, -1.52383, -13.4537, 0.0561809, 0.246615, -0.00519561
5.15124, -1.47497, -13.1093, 0.061634, 0.250367, -0.0105291
5.21796, -1.40382, -12.3863, 0.061185, 0.251588, -0.0123718
5.12878, -1.31492, -12.0125, 0.0574579, 0.243768, -0.00501043
5.09408, -1.30526, -11.8814, 0.0539945, 0.240301, 0.00130305
4.96798, -1.28446, -11.9531, 0.0507355, 0.236783, 0.00124939
4.95382, -1.3269, -12.36, 0.0533082, 0.236168, -0.00366794
4.94795, -1.42296, -13.0841, 0.0554593, 0.239865, -0.0124439
4.93293, -1.41939, -12.9084, 0.0508596, 0.237038, -0.0155641
4.98905, -1.37069, -12.8292, 0.0470099, 0.239424, -0.0158929
4.98904, -1.37807, -12.8632, 0.045624, 0.237804, -0.0138342
4.9711, -1.39702, -13.0295, 0.0454034, 0.236884, -0.00997136
4.91788, -1.30336, -12.3046, 0.0422329, 0.233307, -0.00987273
4.99837, -1.26164, -11.7012, 0.0421792, 0.236336, -0.0152328
5.13227, -1.28392, -11.696, 0.0448932, 0.244827, -0.0187333
5.21921, -1.24414, -11.6243, 0.0416876, 0.250566, -0.0173025
5.23866, -1.2984, -11.7174, 0.0373807, 0.248912, -0.0111132
5.18819, -1.26121, -11.9163, 0.0376165, 0.243145, -0.00396339
5.16324, -1.2718, -12.0134, 0.0362106, 0.241546, -0.00250872
5.17454, -1.25708, -11.9089, 0.0332763, 0.241376, -0.0050859
5.13541, -1.2375, -11.5293, 0.0317525, 0.240721, -0.0108622
5.15086, -1.08201, -10.1161, 0.0230994, 0.238511, -0.0107054
5.1053, -0.968609, -9.21122, 0.0168147, 0.239407, -0.00883507
5.10003, -0.981834, -9.39259, 0.0174232, 0.240257, -0.0113849
5.05157, -1.0793, -9.66497, 0.0211727, 0.240526, -0.0165689
5.04133, -1.19036, -10.1853, 0.0272993, 0.240981, -0.019046
5.13898, -1.31365, -10.6428, 0.0318908, 0.246218, -0.0205402
5.19894, -1.36604, -10.5186, 0.0340514, 0.251899, -0.0218225
5.21784, -1.36052, -10.5446, 0.0323, 0.260151, -0.0198989
5.38496, -1.3274, -10.2806, 0.027915, 0.263992, -0.013676
5.4367, -1.29341, -10.036, 0.0306356, 0.260766, -0.0014018
5.51028, -1.22269, -9.9138, 0.0327435, 0.262319, 0.00516691
5.63535, -1.25851, -10.3296, 0.036836, 0.26566, 0.0104093
5.74302, -1.21655, -10.6799, 0.0343935, 0.272857, 0.0107246
6.00744, -1.20915, -10.8012, 0.0324273, 0.283177, 0.00739712
6.13612, -1.23075, -11.0739, 0.02712, 0.293725, 0.00500963
6.35021, -1.23615, -11.0261, 0.0183171, 0.300479, 0.00104839
6.50623, -1.1957, -10.8106, 0.0145449, 0.305644, 0.00337384
6.6763, -1.2037, -10.8874, 0.014043, 0.315642, 0.00874085
6.77357, -1.12849, -10.8744, 0.0154012, 0.31826, 0.0136726
6.78432, -1.1339, -10.8181, 0.0150735, 0.319464, 0.0166267
6.78344, -1.16548, -11.2833, 0.0193215, 0.318394, 0.0161541
6.83746, -1.15831, -11.2935, 0.0193628, 0.322787, 0.0154213
