# Trial: 3
# Angle[deg]: 40
# Timestamp: 20260308_204547

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
4.67426, -0.439293, -8.2561, -0.0199868, 0.223136, 0.0128955
4.67352, -0.386186, -7.87204, -0.0276092, 0.223622, 0.00368285
4.7387, -0.359394, -7.52157, -0.0275902, 0.225259, -0.00419106
4.75693, -0.305273, -7.0217, -0.0274345, 0.228169, -0.00544666
4.85681, -0.313991, -7.02077, -0.0271138, 0.229634, -0.00411694
4.89006, -0.347161, -7.49186, -0.0257573, 0.230982, -0.00048075
4.95343, -0.327305, -7.20067, -0.0307374, 0.232815, -0.00392882
5.13004, -0.28647, -7.09978, -0.0288385, 0.243093, -0.00981578
5.31605, -0.308978, -6.85364, -0.0282315, 0.254473, -0.0135939
5.55177, -0.276488, -6.50056, -0.0269882, 0.268751, -0.0174026
5.73589, -0.260297, -6.02996, -0.0290007, 0.278597, -0.0200815
5.87495, -0.291674, -5.96932, -0.0269158, 0.287024, -0.0217322
5.95712, -0.327736, -5.97546, -0.0245787, 0.291556, -0.0186761
6.00356, -0.404975, -6.43413, -0.0136791, 0.290837, -0.0131433
5.93634, -0.422301, -6.73117, -0.00917753, 0.289648, -0.00624083
5.96186, -0.513912, -7.38939, -0.00569319, 0.289834, -0.00232715
6.07023, -0.514041, -7.61531, -0.00606299, 0.294055, -0.00382058
6.15537, -0.581819, -7.85613, -0.00698822, 0.299653, -0.0119111
6.22898, -0.599878, -7.98015, -0.0103953, 0.302953, -0.0191531
6.30662, -0.618828, -8.01724, -0.0119928, 0.306638, -0.0198541
6.39821, -0.646509, -8.21461, -0.00879609, 0.313311, -0.0201137
6.55005, -0.685711, -8.36523, -0.0057933, 0.318953, -0.0181649
6.63211, -0.751429, -8.74109, 0.00522623, 0.32224, -0.00983013
6.57612, -0.701987, -8.60925, 0.00588843, 0.313641, -0.00353462
6.5445, -0.649427, -8.74868, 0.00707567, 0.31193, 0.00045725
6.59983, -0.651175, -8.88073, 0.00622332, 0.312623, 0.00325249
6.67584, -0.662616, -9.13355, 0.00910353, 0.313233, 0.000811457
6.66075, -0.679777, -9.32501, 0.0107093, 0.316586, -0.00298935
6.78469, -0.76049, -9.74286, 0.0137249, 0.322943, -0.00935808
6.82012, -0.732418, -9.63506, 0.00757066, 0.322027, -0.0078451
6.75085, -0.685858, -9.53861, 0.00329825, 0.319109, 3.50253e-05
6.74866, -0.693398, -9.79055, 0.00837918, 0.317705, 0.00742581
6.66284, -0.713535, -9.83122, 0.010274, 0.308366, 0.0105197
6.54118, -0.545904, -9.46374, 0.00676338, 0.30489, 0.0115886
6.5747, -0.539556, -9.43661, 0.00473621, 0.300902, 0.0120568
6.54195, -0.552745, -9.73468, 0.00847025, 0.301809, 0.0086273
6.61907, -0.565218, -9.71584, 0.00384623, 0.309349, 0.00145445
6.63115, -0.507164, -9.51736, -0.00192391, 0.30837, -0.00542824
6.63527, -0.541033, -9.37439, -0.00932102, 0.310857, -0.0045847
6.67493, -0.527483, -9.34569, -0.0104788, 0.313483, -0.00206186
6.64665, -0.52747, -9.23542, -0.00294246, 0.309787, -0.000579838
6.50688, -0.508641, -9.16613, 0.00544056, 0.299712, 0.00413683
6.23402, -0.554128, -9.28524, 0.000985454, 0.290025, 0.00980674
5.97346, -0.522933, -9.53165, -0.00669367, 0.27777, 0.0141473
5.91935, -0.474736, -9.69049, -0.015377, 0.275754, 0.0179639
5.80905, -0.513872, -10.1651, -0.0183703, 0.272168, 0.0177185
5.78823, -0.591765, -10.5524, -0.0120837, 0.270467, 0.0137298
5.84019, -0.616101, -10.3976, -0.00493156, 0.274115, -0.00358467
5.83524, -0.631167, -10.055, -0.00639404, 0.276349, -0.0104058
5.91514, -0.6486, -10.1474, -0.00383764, 0.280904, -0.0134157
5.95573, -0.750829, -10.3281, -0.00849736, 0.286628, -0.0143625
5.92826, -0.708975, -10.2637, -0.013388, 0.286775, -0.0116073
5.99656, -0.760032, -10.6267, -0.0114977, 0.290813, -0.00722753
6.01094, -0.841813, -10.9102, -0.000617575, 0.29194, -0.00591204
6.07033, -0.829104, -10.9654, 0.00698698, 0.29433, -0.00817276
6.00619, -0.864476, -11.0151, 0.0037572, 0.294109, -0.0133703
5.98766, -0.871153, -11.0238, -0.00174765, 0.290033, -0.012607
5.99239, -0.899453, -11.2436, 0.00177849, 0.291082, -0.00884095
6.0633, -0.913567, -11.5261, 0.0144723, 0.292355, -0.00622784
6.07024, -0.896873, -11.1161, 0.0126172, 0.291584, -0.00791075
6.12404, -0.822498, -10.9136, 0.00728108, 0.297673, -0.00988967
6.12336, -0.777949, -10.658, -0.00458865, 0.296414, -0.0122767
6.14621, -0.783479, -10.7956, -0.00546146, 0.299287, -0.0154624
6.21211, -0.806458, -10.6441, -0.00243087, 0.301295, -0.0164491
6.30809, -0.79346, -10.3405, 0.00153908, 0.304364, -0.0175124
6.38844, -0.783488, -10.358, 0.00262622, 0.308137, -0.0166513
6.44181, -0.811694, -10.4909, 0.0066243, 0.307084, -0.0157354
6.51253, -0.758368, -10.1432, 0.00335169, 0.311915, -0.0160701
6.52503, -0.743267, -9.96639, 0.00197882, 0.312311, -0.01822
6.50886, -0.815101, -10.4807, 0.00963501, 0.31281, -0.0142684
6.44038, -1.04432, -12.2227, 0.0192402, 0.312975, -0.00294506
6.2575, -1.18316, -13.772, 0.0101288, 0.307152, 0.00640409
6.16991, -1.13373, -14.0287, -0.00472943, 0.300511, 0.0115013
6.16271, -1.0027, -13.0642, -0.0180867, 0.296751, 0.0111449
6.20402, -0.97586, -12.8049, -0.0157171, 0.302412, 0.00128283
6.27404, -0.97066, -12.1428, -0.00663605, 0.304534, -0.0099186
6.29218, -0.965117, -11.8495, 0.00041714, 0.306475, -0.0132256
6.29447, -0.958961, -11.7614, 0.00593611, 0.304196, -0.00621428
6.29389, -0.936822, -11.8935, 0.00414236, 0.302141, 0.00610965
6.23067, -0.915529, -11.8703, 0.0023955, 0.299031, 0.011692
6.20523, -0.862786, -11.8708, 0.00150948, 0.296621, 0.0113543
6.33004, -0.738756, -11.483, -0.0066443, 0.30132, 0.00725656
6.37865, -0.679364, -10.9931, -0.0201795, 0.306091, -0.00230704
6.47756, -0.693553, -10.9811, -0.023552, 0.31084, -0.00757823
6.49167, -0.756816, -11.0819, -0.0230506, 0.314157, -0.0101631
6.49576, -0.725692, -10.7608, -0.0226596, 0.313127, -0.0114727
6.55278, -0.749979, -10.9057, -0.0253429, 0.317982, -0.0124309
6.59129, -0.747835, -10.7271, -0.0261177, 0.320304, -0.0125192
6.59049, -0.735838, -10.6649, -0.0267428, 0.321036, -0.0128748
6.63096, -0.794021, -10.9344, -0.0254307, 0.326886, -0.0137548
6.66891, -0.847044, -11.0615, -0.0199133, 0.326779, -0.0166168
6.68445, -0.792651, -10.7291, -0.0189846, 0.326334, -0.0152561
6.74445, -0.767888, -10.6682, -0.0228613, 0.330044, -0.00646397
6.81847, -0.774031, -10.9731, -0.0230111, 0.329508, 0.00289377
6.76383, -0.786486, -11.2232, -0.0171731, 0.328591, 0.00239946
6.79678, -0.807486, -11.263, -0.0179883, 0.335341, -0.0108833
6.84334, -0.914199, -11.4937, -0.0180653, 0.335937, -0.0185426
6.85407, -0.913456, -11.2694, -0.0165003, 0.336953, -0.0182086
6.85654, -0.868409, -11.2191, -0.0167172, 0.337031, -0.0119627
6.97052, -0.849143, -11.2036, -0.0142477, 0.338153, -0.00482264
6.95661, -0.796654, -10.8697, -0.0138324, 0.336286, -0.00207418
7.04551, -0.806178, -10.7159, -0.00884965, 0.342307, -0.0101006
7.22362, -0.782696, -10.4564, -0.00975387, 0.348087, -0.0187701
7.22239, -0.740558, -10.2695, -0.01026, 0.35071, -0.0195202
7.27674, -0.755869, -10.2834, -0.00609214, 0.35259, -0.0156955
7.3012, -0.744699, -10.2057, -0.00337813, 0.352867, -0.00944666
7.35296, -0.702815, -10.0623, -0.00703895, 0.358723, -0.00793221
7.42505, -0.656166, -9.80127, -0.00471847, 0.359083, -0.0160548
7.53587, -0.747372, -10.3367, -0.00570596, 0.367567, -0.0229856
7.61651, -0.715617, -9.91909, -0.014688, 0.370649, -0.0244687
7.68852, -0.715021, -9.88381, -0.0175893, 0.374078, -0.0241254
7.69995, -0.700381, -9.85512, -0.0236261, 0.375714, -0.0210037
7.65808, -0.771793, -10.2702, -0.0185349, 0.37561, -0.0256167
7.7275, -0.832356, -10.2894, -0.0175308, 0.377342, -0.0271185
7.75644, -0.797402, -9.79086, -0.0222783, 0.381926, -0.0289979
7.73718, -0.828984, -9.85374, -0.0283427, 0.383692, -0.0283481
7.62782, -0.831475, -9.29048, -0.0334246, 0.380466, -0.0291253
7.51641, -0.817823, -8.96503, -0.0308108, 0.375061, -0.0269138
7.51945, -0.720946, -8.24548, -0.0339904, 0.371395, -0.0228471
7.48214, -0.684412, -8.02834, -0.0306433, 0.365689, -0.0117204
7.33717, -0.776966, -8.64589, -0.0187279, 0.361104, -0.00481168
7.26708, -0.817601, -8.96623, -0.0147785, 0.358036, -0.00386352
7.16553, -0.8374, -9.118, -0.011835, 0.352475, -0.00462447
7.22811, -0.839597, -9.46597, -0.00934441, 0.355347, -0.00324266
7.17379, -0.830149, -9.38552, -0.0228952, 0.351984, -0.00163342
7.14187, -0.798914, -9.17794, -0.0266144, 0.34934, 0.000550914
7.13051, -0.793763, -9.25692, -0.015934, 0.347249, 0.000450583
7.06213, -0.883911, -9.31257, -0.00585374, 0.345925, -0.00394238
7.00103, -0.875517, -9.54019, 0.0018029, 0.342987, 9.49073e-05
6.90091, -0.794506, -9.33868, -0.00254431, 0.331469, 0.00488784
6.80243, -0.831164, -9.75709, -0.00448312, 0.323264, 0.00680609
6.69035, -0.796841, -9.49661, -0.00860797, 0.318908, 0.00779584
6.61164, -0.765552, -9.36436, -0.00608096, 0.315352, 0.00482434
6.69222, -0.697143, -8.87547, -0.00892885, 0.317482, -0.00752908
6.71295, -0.675498, -8.6903, -0.0122985, 0.318962, -0.00983725
6.72629, -0.687837, -8.88874, -0.0140239, 0.321227, -0.0109512
6.6789, -0.719584, -8.97561, -0.0128202, 0.318875, -0.00873147
6.7003, -0.621208, -8.37791, -0.00668181, 0.31619, -0.00220151
6.63705, -0.577339, -8.35392, -0.00193599, 0.315734, 0.0035501
6.61755, -0.661242, -8.6134, -0.00218818, 0.311478, 0.00307466
6.64025, -0.678314, -8.68693, -0.003973, 0.315096, 0.00157297
6.61216, -0.72845, -8.97729, 0.000338051, 0.316271, -0.00342604
6.54351, -0.721301, -8.86221, 0.00255775, 0.311128, -0.00575341
6.48082, -0.711195, -8.72423, 0.00300619, 0.307846, -0.00228399
6.40096, -0.740438, -8.87199, 0.00608231, 0.306049, 0.00152563
6.42175, -0.756393, -9.10776, 0.00869848, 0.305698, -0.00206694
6.35042, -0.778924, -8.98088, 0.00434144, 0.30299, -0.00990323
6.30831, -0.703219, -8.68978, -0.00270734, 0.301159, -0.0134365
6.3904, -0.657896, -8.37571, -0.00557388, 0.30289, -0.011704
6.3599, -0.71003, -8.64145, -0.00903913, 0.3047, -0.00825569
6.34381, -0.632337, -8.44064, -0.014285, 0.300035, -0.0129677
6.22036, -0.734935, -8.55108, -0.0112966, 0.299857, -0.0175296
6.02988, -0.706031, -8.22776, -0.00687434, 0.292724, -0.0181989
6.00499, -0.836479, -8.79175, 0.00679626, 0.28803, -0.01155
5.83253, -0.841381, -9.01273, 0.00689106, 0.280674, 7.66037e-05
5.77169, -0.707445, -8.42798, -0.00277265, 0.274665, 0.00448674
5.70322, -0.515046, -7.3199, -0.0116972, 0.264729, 0.00335994
5.56404, -0.55307, -7.19003, -0.0016907, 0.256603, -0.00419976
5.50568, -0.598001, -7.33851, 0.00323498, 0.25752, -0.0108837
5.40511, -0.422154, -6.4767, -0.00561218, 0.246403, -0.00747711
5.29222, -0.334466, -6.00864, -0.0103507, 0.243623, 0.0053043
5.20398, -0.301029, -5.87887, -0.0116657, 0.237663, 0.00969568
5.07407, -0.285247, -5.47845, -0.0103084, 0.230233, 0.0058751
4.97267, -0.136027, -4.53712, -0.0130096, 0.227002, -0.0020518
4.99978, -0.0427919, -4.08322, -0.0139424, 0.2274, -0.00437534
4.95943, -0.107327, -4.20179, -0.019349, 0.230063, 0.00351914
4.8541, 0.0460524, -3.48941, -0.0230352, 0.219794, 0.00907076
4.72078, 0.140684, -3.10349, -0.0219954, 0.214876, 0.00949705
4.83264, 0.0181443, -3.75153, -0.0171569, 0.223988, 0.00563365
4.83088, 0.0318582, -3.42157, -0.0180138, 0.218877, 0.00399266
4.73464, 0.163383, -2.68916, -0.0250842, 0.21297, 0.00294698
4.71116, 0.0421958, -3.22533, -0.0180341, 0.212112, 0.00235404
4.86453, -0.182582, -4.71951, -0.00856561, 0.226166, 0.00270587
4.71988, -0.0615589, -4.53726, -0.0118604, 0.219029, 0.00623089
4.64816, 0.0649885, -3.42493, -0.0208047, 0.211422, 0.00949841
4.89024, -0.0460791, -4.39458, -0.0156977, 0.224796, 0.00720357
4.93638, -0.0682446, -3.93698, -0.0139316, 0.222667, -0.00185578
4.74612, 0.03398, -3.50164, -0.0132676, 0.21664, -0.00621417
4.98719, -0.0305904, -3.99654, -0.0155909, 0.22827, -0.00711138
5.05515, -0.0166097, -3.69166, -0.0242672, 0.227678, -0.00508036
4.89016, -0.0164228, -4.01089, -0.022057, 0.224399, -0.00279219
4.94287, -0.123625, -4.80609, -0.0136179, 0.228746, -0.00220795
5.13551, -0.297301, -5.5816, -0.0125926, 0.240806, -0.00749892
5.0597, -0.0495754, -4.32272, -0.0236718, 0.231928, -0.00951807
5.00827, -0.038744, -4.32135, -0.0271108, 0.233445, -0.00751858
5.15038, -0.25588, -5.32204, -0.0260621, 0.240257, -0.00532667
5.05335, -0.203186, -5.35324, -0.0274049, 0.238724, -0.00993295
5.05036, -0.056875, -4.48072, -0.0333357, 0.23818, -0.0138202
5.12086, -0.138144, -4.17773, -0.0294607, 0.243423, -0.0158386
5.34974, -0.136774, -4.35832, -0.0278419, 0.254789, -0.0161633
5.41797, -0.0329302, -3.74555, -0.0307372, 0.25525, -0.0108741
5.33018, -0.112571, -3.9331, -0.0210224, 0.252109, -0.00311115
5.24864, -0.0338198, -3.97424, -0.0199836, 0.247993, 0.000461543
5.22363, -0.0228283, -3.92786, -0.0213786, 0.244416, 0.00213202
5.16105, -0.137094, -4.16853, -0.0196275, 0.243534, 0.0022493
5.34602, -0.078907, -4.67687, -0.021696, 0.253218, -0.00323577
5.35242, 0.0355368, -3.81279, -0.0288081, 0.248274, -0.00680429
5.30495, 0.0557451, -3.37612, -0.0300476, 0.249945, -0.0088536
5.51029, 0.0483789, -3.61037, -0.0339552, 0.258497, -0.00854391
5.49794, 0.024314, -3.50136, -0.0311322, 0.25329, -0.00784307
5.37809, 0.013785, -3.43934, -0.0233749, 0.251183, -0.000741745
5.50745, -0.138482, -4.85268, -0.0132587, 0.257868, -0.000471712
5.56926, -0.15063, -4.74619, -0.0160468, 0.259782, -0.000812587
5.4591, 0.0641256, -3.47672, -0.0274959, 0.250756, -0.00129402
5.53761, 0.0440819, -3.85313, -0.0223928, 0.25568, -0.00191543
5.68382, -0.25543, -5.0192, -0.0127915, 0.265652, -0.00571421
5.71576, -0.136196, -4.57284, -0.0149608, 0.266569, -0.00614717
5.80748, 0.0364665, -3.97071, -0.0188453, 0.269514, -0.0019317
5.77497, -0.168819, -4.81326, -0.00972664, 0.271269, -0.00514567
5.73443, -0.225827, -5.43594, -0.00938994, 0.27103, -0.0107266
5.91589, -0.113154, -4.95594, -0.0159117, 0.279344, -0.0118544
6.04597, -0.130133, -4.70601, -0.0201093, 0.281147, -0.0116153
5.97514, -0.157093, -5.11691, -0.0167701, 0.280919, -0.0113895
5.99906, -0.136747, -4.83326, -0.0211766, 0.283543, -0.00387188
6.04383, -0.148904, -4.89515, -0.0216254, 0.285846, -0.00269706
6.09231, -0.205539, -5.37854, -0.0185119, 0.290585, -0.0123756
6.13293, -0.238229, -5.6069, -0.0148273, 0.289852, -0.017841
6.2695, -0.231917, -5.14082, -0.0169155, 0.296424, -0.0161609
6.321, -0.0343358, -4.45299, -0.0258933, 0.298784, -0.0153361
6.3573, -0.0935239, -4.30137, -0.0297548, 0.296281, -0.0157323
6.33957, -0.0947783, -3.96351, -0.03103, 0.299261, -0.0180066
6.36324, -0.142997, -4.28632, -0.025962, 0.302637, -0.0191756
6.51832, -0.219862, -4.74996, -0.0192944, 0.311301, -0.017321
6.62959, -0.21097, -4.71886, -0.0190202, 0.313949, -0.0122346
6.67372, -0.160665, -4.54308, -0.0230833, 0.317214, -0.00494388
6.83983, -0.23415, -4.86768, -0.0187124, 0.325563, -0.00725815
7.03634, -0.12939, -4.47607, -0.0201865, 0.331026, -0.0177309
7.18803, -0.0179263, -3.62225, -0.0240932, 0.337845, -0.0219511
7.60571, 0.0155421, -3.06954, -0.026356, 0.354181, -0.021682
7.91022, -0.13044, -3.53607, -0.023515, 0.371343, -0.0215934
7.78867, -0.0144211, -2.6285, -0.0271185, 0.361561, -0.0182216
7.593, 0.0444689, -2.18681, -0.0230847, 0.351333, -0.0072064
7.6085, -0.0872875, -3.38949, -0.015186, 0.355492, -0.00198514
7.33897, -0.16643, -4.38591, -0.0107904, 0.339997, 0.00207497
7.15758, -0.102585, -4.24732, -0.0176015, 0.331435, 0.00685196
7.03547, -0.107989, -4.50164, -0.0204248, 0.325986, 0.00268226
6.93662, -0.172004, -4.4938, -0.0201011, 0.320688, -0.00917233
6.95354, -0.147832, -4.13248, -0.0262734, 0.325898, -0.0139529
7.00487, -0.160777, -4.19537, -0.0308814, 0.327232, -0.0132511
6.79859, -0.136187, -4.18014, -0.0321992, 0.320662, -0.00730018
6.6247, -0.113643, -3.93184, -0.0294248, 0.309783, -0.00195113
6.47335, -0.198324, -4.22188, -0.0161036, 0.30327, 0.000497585
6.53152, -0.315579, -5.22159, -0.00858018, 0.305665, 0.00262972
6.44352, -0.229648, -5.22753, -0.00926035, 0.299682, 0.00569828
6.41509, -0.201055, -5.12004, -0.0143163, 0.296867, 0.00637958
6.46472, -0.206402, -4.91291, -0.0227111, 0.295333, -0.000642319
6.63276, -0.190108, -4.98245, -0.0260275, 0.308599, -0.00595487
6.57525, -0.144371, -4.4926, -0.0272077, 0.305452, -0.00883869
6.66064, -0.222113, -4.75167, -0.0264334, 0.311512, -0.00796667
6.7221, -0.232896, -4.92325, -0.0219574, 0.316459, -0.000103946
6.67958, -0.306901, -5.11614, -0.0150729, 0.310527, 0.00235008
6.50125, -0.239532, -5.02104, -0.0114927, 0.301329, 0.0068584
6.57249, -0.260417, -5.89473, -0.00693094, 0.305846, 0.0107972
6.52634, -0.280367, -6.08043, -0.011287, 0.300219, 0.013384
6.47097, -0.163098, -5.81396, -0.0178143, 0.296737, 0.0122095
6.57259, -0.179246, -5.83419, -0.0209632, 0.301008, 0.00115358
6.77227, -0.157614, -5.48503, -0.0190525, 0.311714, -0.00739135
6.84362, -0.0646327, -4.71137, -0.0246662, 0.319547, -0.0111462
6.85458, 0.00892313, -3.88571, -0.0294301, 0.315337, -0.00840246
6.71359, -0.00447046, -3.88481, -0.0247984, 0.310531, 0.000599159
6.57444, 0.0242206, -3.85234, -0.0219888, 0.302832, 0.00533571
6.48407, -0.0191007, -4.17176, -0.0193499, 0.296891, 0.00720448
6.44594, -0.0202883, -4.61822, -0.0193508, 0.295956, 0.00841262
6.33026, 0.00818473, -4.44861, -0.0279496, 0.291817, 0.00866887
6.44011, -0.126005, -5.24312, -0.0243, 0.299798, 0.00144462
6.56316, -0.212051, -5.63417, -0.0223817, 0.307059, -0.0047857
6.67014, -0.263744, -5.93296, -0.0239048, 0.31165, -0.00764501
6.6447, -0.241983, -5.62492, -0.0264458, 0.308172, -0.00363822
6.5498, -0.178912, -5.24756, -0.0193515, 0.29999, 0.00561602
6.44177, -0.284348, -5.8251, -0.00788589, 0.299564, 0.0078216
6.40506, -0.375723, -6.7258, -0.00151095, 0.296534, 0.0101238
6.37218, -0.432523, -7.4422, -0.000922295, 0.293397, 0.00947242
6.29741, -0.408654, -7.41576, -0.00937277, 0.291012, 0.000438042
6.42637, -0.372499, -6.977, -0.0162777, 0.297057, -0.00713838
6.4466, -0.227077, -5.54258, -0.0211776, 0.2988, -0.0134162
6.38094, -0.101442, -4.47072, -0.0252179, 0.300192, -0.015277
6.46155, -0.20073, -4.88151, -0.0249713, 0.304425, -0.0139974
6.34348, -0.258161, -5.26379, -0.0253187, 0.298709, -0.00237923
6.09904, -0.189009, -5.0483, -0.0193185, 0.286578, 0.00561105
6.07341, -0.284851, -5.79612, -0.0111863, 0.285321, 0.0084533
6.12553, -0.328265, -6.38577, -0.00325871, 0.281699, 0.00841703
5.91657, -0.216139, -5.7081, -0.00788386, 0.270944, 0.00512567
5.952, -0.158183, -5.60837, -0.0157481, 0.273568, -0.00135887
5.99254, -0.223141, -5.59568, -0.0178826, 0.273269, -0.00683411
5.8774, -0.0983991, -4.89118, -0.0226832, 0.274295, -0.00896026
5.90644, -0.0381702, -4.27283, -0.0294446, 0.275121, -0.00700348
5.94231, -0.0753128, -4.37498, -0.0314832, 0.276525, -0.000945909
5.8758, -0.179294, -4.99667, -0.0179685, 0.276788, 0.00179363
5.82884, -0.224168, -5.37202, -0.00866176, 0.27389, 0.000605599
5.82339, -0.288605, -5.49584, -0.00350072, 0.272095, 0.00100353
5.7552, -0.218804, -5.43018, -0.00387436, 0.267358, 0.00404158
5.74893, -0.211268, -5.57948, -0.00817976, 0.267315, 0.0078964
