# Trial: 5
# Angle[deg]: 40
# Timestamp: 20260308_220049

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
1.69197, -0.209836, -3.77315, -0.0151074, 0.100104, -0.00871644
1.66449, -0.198035, -3.98711, -0.013134, 0.100916, -0.00796306
1.66781, -0.168414, -3.88828, -0.0156187, 0.098306, -0.00724922
1.66843, -0.246231, -4.21536, -0.0111492, 0.0985721, -0.00372793
1.62991, -0.208719, -4.23074, -0.0114304, 0.0961914, -0.00108172
1.60998, -0.225369, -4.20503, -0.0105796, 0.0973345, -0.0025225
1.65494, -0.24499, -4.19848, -0.00853725, 0.0957538, -0.0054757
1.66119, -0.226557, -4.12932, -0.0119382, 0.0971378, -0.00740378
1.68547, -0.222046, -4.07651, -0.0119023, 0.0986119, -0.00820394
1.71334, -0.215014, -3.81947, -0.0120903, 0.0992562, -0.0108646
1.78613, -0.213613, -3.63228, -0.0131624, 0.103686, -0.0110881
1.82536, -0.187439, -3.29264, -0.0123396, 0.107286, -0.0114354
1.90845, -0.156333, -3.12492, -0.0120245, 0.111864, -0.0133634
2.02705, -0.179913, -2.96435, -0.011635, 0.116205, -0.0135339
2.14563, -0.162974, -2.81385, -0.0107507, 0.120216, -0.0147968
2.27858, -0.160492, -2.74227, -0.0118704, 0.124528, -0.0139589
2.36505, -0.156702, -2.9294, -0.00983352, 0.131536, -0.0125041
2.52121, -0.218977, -2.98555, -0.0117769, 0.136829, -0.0142321
2.63556, -0.26047, -3.29998, -0.011365, 0.143854, -0.0147151
2.70627, -0.305753, -3.64031, -0.0101826, 0.150975, -0.0144264
2.64763, -0.335721, -3.88253, -0.0092147, 0.150421, -0.015406
2.67904, -0.403823, -4.30321, -0.00802927, 0.150468, -0.0155732
2.64297, -0.479781, -4.90997, -0.00585002, 0.149597, -0.014096
2.53405, -0.473464, -5.04366, -0.00645912, 0.145147, -0.0139366
2.46183, -0.482645, -5.15801, -0.00522227, 0.138175, -0.0126654
2.42638, -0.523364, -5.46978, -0.00104364, 0.138102, -0.0118502
2.50494, -0.646358, -6.25766, 0.00303748, 0.14423, -0.0121974
2.65231, -0.766513, -7.08409, 0.00786171, 0.151453, -0.0152923
2.58922, -0.778136, -7.45137, 0.00879056, 0.148135, -0.0160399
2.73506, -0.801863, -7.4962, 0.0117348, 0.155156, -0.0157333
2.85127, -0.839878, -7.6845, 0.0145198, 0.158708, -0.015986
3.01544, -0.83921, -7.73738, 0.0146437, 0.16787, -0.0139358
3.15223, -0.858751, -7.93327, 0.0106583, 0.178456, -0.0110296
3.31105, -0.893532, -8.15656, 0.00981929, 0.182091, -0.00966416
3.41193, -0.914234, -8.04211, 0.0141433, 0.190071, -0.0116894
3.64195, -0.972377, -8.35041, 0.0186402, 0.197325, -0.0155396
3.72511, -1.00634, -8.72752, 0.0238267, 0.202649, -0.0169411
3.67722, -1.02078, -8.94109, 0.0247169, 0.199716, -0.0160522
3.60779, -1.0212, -8.88346, 0.0221891, 0.194313, -0.0120708
3.57027, -1.06082, -9.23565, 0.0274201, 0.192788, -0.00683615
3.59142, -1.10404, -9.57657, 0.0289265, 0.195602, -0.00768715
3.66207, -1.09512, -9.72978, 0.030775, 0.197286, -0.00862865
3.62823, -1.05013, -9.63089, 0.0248941, 0.197799, -0.00715748
3.64819, -1.0025, -9.24438, 0.0179745, 0.197304, -0.00427117
3.71072, -0.99694, -9.04676, 0.0154108, 0.200369, -0.00278654
3.74426, -1.01307, -9.12663, 0.0200962, 0.20043, -0.00270237
3.84839, -0.959962, -8.76924, 0.0214473, 0.203359, -0.00301523
3.84598, -0.925435, -8.4565, 0.0193003, 0.203898, -0.00322673
3.8834, -0.882483, -8.27686, 0.0161829, 0.207541, -0.00159207
3.98598, -0.89254, -8.08977, 0.0152004, 0.21117, -0.00195181
4.09076, -0.895774, -8.16526, 0.0184231, 0.214214, -0.0060552
4.07013, -0.938628, -8.4169, 0.0243729, 0.213798, -0.00824914
3.98401, -1.02197, -9.13166, 0.0259829, 0.211779, -0.00752377
3.9408, -1.14385, -10.2844, 0.0304251, 0.21039, -0.00631529
4.00644, -1.19086, -10.9105, 0.0370082, 0.213903, -0.0063093
4.02464, -1.22037, -11.4395, 0.0407444, 0.21499, -0.00766534
4.06749, -1.22184, -11.3506, 0.0388799, 0.216089, -0.00785132
4, -1.17998, -11.2345, 0.0350624, 0.216712, -0.00751134
3.97702, -1.14858, -10.8017, 0.0297984, 0.215109, -0.00358659
4.01779, -1.12392, -10.8007, 0.0305832, 0.216376, -0.00229969
4.02616, -1.14951, -10.6573, 0.0287118, 0.212997, -0.00223868
3.97515, -1.13712, -10.7991, 0.0322682, 0.211105, -0.00139468
3.97849, -1.12306, -10.9078, 0.0303588, 0.210181, -0.00242341
3.95507, -1.12652, -10.9991, 0.0331768, 0.208846, -0.00488908
3.92674, -1.14992, -11.0873, 0.0342083, 0.209377, -0.00374974
3.93684, -1.15021, -11.1565, 0.0326422, 0.209569, -0.000873486
3.99211, -1.16844, -11.5229, 0.0320923, 0.210615, 0.00019456
4.01223, -1.1537, -11.8107, 0.0325011, 0.213831, -0.000851341
4.04887, -1.21097, -12.1156, 0.0348585, 0.216757, -0.00155648
4.07384, -1.23479, -12.2678, 0.0347973, 0.219029, -0.00143423
4.23283, -1.21016, -12.3117, 0.0344405, 0.225407, 0.000601192
4.36552, -1.1643, -11.7314, 0.0284427, 0.230933, 0.000625484
4.44263, -1.09251, -11.3101, 0.0259116, 0.233575, 0.00228478
4.54332, -1.06282, -11.0072, 0.0228343, 0.236579, 0.00168551
4.74082, -1.01471, -10.482, 0.0180998, 0.247121, 0.000703218
4.94599, -0.936155, -10.0166, 0.0150237, 0.255921, 0.00243381
5.03258, -0.893688, -9.71992, 0.0110828, 0.257901, 0.00496467
5.14519, -0.856581, -9.54231, 0.0104104, 0.262411, 0.0043054
5.32042, -0.857884, -9.32911, 0.00766466, 0.272729, 0.00414462
5.47074, -0.857604, -9.23444, 0.00572664, 0.280839, 0.00137401
5.53571, -0.823019, -8.96762, 0.00145163, 0.288003, 0.000933933
5.59474, -0.781001, -8.74202, 0.000115809, 0.289737, 0.00349541
5.66611, -0.784689, -8.74209, 0.00285151, 0.290204, 0.00323781
5.81823, -0.757047, -8.29501, 0.00230274, 0.297314, 0.00368862
6.00417, -0.747826, -8.14128, 0.00510432, 0.301401, 0.00577126
6.05527, -0.686605, -8.21292, 0.00684304, 0.304607, 0.00617552
6.09845, -0.677669, -8.06188, 0.00588222, 0.303745, 0.00516216
6.23641, -0.613863, -7.85555, 0.00474209, 0.30926, 0.00685694
6.48682, -0.587917, -7.62299, 0.00200458, 0.319676, 0.00862086
6.57572, -0.559924, -7.58873, 0.00252871, 0.323765, 0.00756964
6.63469, -0.564048, -7.47246, 0.00217123, 0.324662, 0.00769314
6.79481, -0.567015, -7.83081, 0.00327068, 0.331849, 0.00837138
6.91297, -0.521283, -7.68894, 0.00321442, 0.335993, 0.00774003
7.01556, -0.470422, -7.28086, -0.00244793, 0.340276, 0.00534373
7.04931, -0.443919, -7.1837, -0.00965026, 0.345333, 0.00561399
7.05419, -0.413529, -7.01065, -0.0113413, 0.344626, 0.00910918
7.0261, -0.410891, -6.97087, -0.0115379, 0.342138, 0.0131397
7.10682, -0.397271, -7.15838, -0.0106779, 0.342514, 0.0139513
7.12842, -0.339297, -7.40915, -0.00922453, 0.341504, 0.0139753
7.07627, -0.361551, -7.80324, -0.00688371, 0.338958, 0.0130998
7.10048, -0.330418, -7.92039, -0.0078277, 0.337022, 0.0125621
7.11349, -0.309303, -7.89316, -0.0106828, 0.338629, 0.01365
7.05595, -0.280024, -7.83073, -0.0146687, 0.337366, 0.013873
7.01431, -0.252832, -7.66163, -0.0163612, 0.336334, 0.012942
7.00573, -0.240609, -7.65394, -0.0136159, 0.336721, 0.0112084
