# Trial: 4
# Angle[deg]: -20
# Timestamp: 20260308_211701

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
4.71563, -0.410606, 0.978235, 0.0203686, 0.234352, -0.0197893
4.75781, -0.391359, 0.800965, 0.0221135, 0.235936, -0.0177536
4.81392, -0.39119, 0.955038, 0.0236306, 0.239388, -0.0156104
4.80971, -0.43037, 1.04362, 0.0270555, 0.243477, -0.00749846
4.88534, -0.441175, 0.814839, 0.0255575, 0.247817, -0.00242262
4.85118, -0.377876, 1.00421, 0.0188742, 0.250387, 0.000402678
4.74954, -0.338127, 1.00202, 0.00934757, 0.240446, -0.0012678
4.61933, -0.305041, 0.524859, 0.00750784, 0.23213, -0.00451453
4.45021, -0.272031, 0.379949, 0.00727588, 0.225418, -0.00706257
4.25222, -0.289984, 0.573007, 0.0118953, 0.209964, -0.00420891
4.09051, -0.322514, 0.685284, 0.0188941, 0.201233, -0.00141932
3.96984, -0.303658, 0.184699, 0.0212744, 0.193263, -0.00165444
3.77172, -0.377618, 0.280474, 0.0239043, 0.182481, -0.00673683
3.61586, -0.357588, 0.409743, 0.024547, 0.176752, -0.0130638
3.58508, -0.370065, 0.775476, 0.025215, 0.176324, -0.0148968
3.42349, -0.418173, 1.04863, 0.0260773, 0.167132, -0.011595
3.3291, -0.370292, 0.63102, 0.0220688, 0.160596, -0.00794984
3.30327, -0.303293, 0.152436, 0.0143407, 0.15723, -0.0109655
3.25082, -0.31013, 0.282146, 0.0137874, 0.156063, -0.0161142
3.27402, -0.346712, 0.567117, 0.0135892, 0.156796, -0.0178542
3.42137, -0.371685, 0.780209, 0.0136842, 0.166578, -0.0188159
3.53298, -0.456161, 1.57267, 0.0169917, 0.168558, -0.0145416
3.8734, -0.469474, 2.2082, 0.0251191, 0.188244, -0.00415954
4.57602, -0.509081, 2.49724, 0.0297364, 0.224861, 0.00233754
5.15651, -0.561183, 2.08455, 0.0298656, 0.25374, 0.00511211
5.36082, -0.478371, 1.93446, 0.0291459, 0.264001, 0.00929504
5.54416, -0.416113, 0.941395, 0.0253074, 0.277521, 0.0127649
5.66393, -0.384331, 0.833219, 0.0193749, 0.283197, 0.0138636
5.59048, -0.332789, 0.118109, 0.017449, 0.280024, 0.015374
5.42786, -0.297929, -0.177337, 0.0177442, 0.271773, 0.0144982
5.39845, -0.314676, -0.302203, 0.0234995, 0.269626, 0.00420575
5.32491, -0.333141, -0.61816, 0.0243421, 0.265825, -0.00882694
5.15367, -0.334213, -1.20444, 0.0215985, 0.258951, -0.0139133
5.10913, -0.351343, -1.45585, 0.0214124, 0.255688, -0.0150395
5.03253, -0.289993, -2.08198, 0.0227208, 0.253715, -0.0145258
4.98624, -0.302506, -2.12028, 0.0228669, 0.247015, -0.00826461
5.10624, -0.305651, -1.59419, 0.021731, 0.259148, 0.00027975
5.13443, -0.32444, -1.4024, 0.0176055, 0.258345, 0.00487518
5.04907, -0.29949, -1.18739, 0.01644, 0.251295, 0.00450222
5.00972, -0.277969, -1.28102, 0.0123341, 0.253709, 0.000922747
5.003, -0.235702, -1.72528, 0.0117899, 0.249966, -0.00491665
4.87332, -0.234702, -2.05252, 0.0129289, 0.244464, -0.0110785
4.77433, -0.297493, -1.84317, 0.0187254, 0.236014, -0.00956439
4.65419, -0.342593, -1.45471, 0.0232168, 0.229263, -0.0077128
4.71232, -0.334408, -1.62989, 0.025338, 0.23602, -0.00314742
4.61536, -0.325912, -1.51779, 0.0255329, 0.227362, 0.000934159
4.5256, -0.267093, -1.9608, 0.0190626, 0.226413, -0.0026165
4.5922, -0.279731, -1.85299, 0.0139219, 0.225436, -0.0109674
4.48249, -0.269367, -1.44965, 0.0139049, 0.219106, -0.0113225
4.41779, -0.275078, -1.58384, 0.0131093, 0.216803, -0.0114419
4.42798, -0.28748, -1.65621, 0.0137171, 0.214767, -0.0124872
4.43033, -0.301189, -2.05108, 0.0166367, 0.218688, -0.0136269
4.48782, -0.293044, -1.70017, 0.0205821, 0.216572, -0.0124022
4.68134, -0.346966, -1.63779, 0.021571, 0.229264, -0.0116554
4.87028, -0.385981, -1.23851, 0.0201763, 0.236887, -0.00486739
4.99865, -0.336392, -0.945914, 0.0160336, 0.241184, 0.00319295
4.98824, -0.318422, -1.10652, 0.0144465, 0.242668, 0.00423286
5.12341, -0.320855, -0.89194, 0.0171543, 0.24767, 0.00419965
5.27638, -0.351276, -0.580142, 0.0182126, 0.2535, 0.00301545
5.26153, -0.378223, -0.193756, 0.0186933, 0.253483, 0.00416304
5.3445, -0.350934, -0.106112, 0.0111942, 0.258089, 0.00400317
5.20958, -0.302114, -0.616986, 0.00826224, 0.252655, 0.00344592
5.1465, -0.302008, -0.75997, 0.00960631, 0.25003, 0.00317928
5.06594, -0.329008, -0.758569, 0.01427, 0.250587, 0.00359924
4.97471, -0.311807, -0.342722, 0.0169095, 0.241644, 0.00654544
4.90948, -0.293071, -0.315028, 0.0153911, 0.241976, 0.00757676
4.87929, -0.290006, -0.161261, 0.0141697, 0.239788, 0.00917482
4.77342, -0.273428, -0.672331, 0.0105598, 0.23715, 0.00864232
4.7213, -0.211753, -0.943761, 0.00772172, 0.235109, 0.00610773
4.59347, -0.236076, -0.536674, 0.00650714, 0.223519, -0.000236251
4.50229, -0.269567, -0.118928, 0.00722787, 0.218925, -0.00450719
4.51909, -0.269144, -0.686917, 0.0108098, 0.220603, -0.00897766
4.57031, -0.23681, -1.03687, 0.0124374, 0.223138, -0.00948858
4.49988, -0.28167, -0.750228, 0.0119625, 0.219222, -0.0100484
4.48517, -0.269865, -0.713579, 0.0116023, 0.216114, -0.00930374
4.4883, -0.304107, -0.690622, 0.0130008, 0.218037, -0.00413152
4.47404, -0.31694, -0.575382, 0.0162374, 0.218652, 0.00363596
4.39983, -0.310219, -0.664711, 0.016125, 0.217933, 0.00364026
4.40533, -0.279446, -0.899551, 0.0172558, 0.215055, 0.00128509
4.5058, -0.321059, -0.741781, 0.0151125, 0.222757, -0.00140644
4.55529, -0.25874, -0.751029, 0.0078094, 0.224936, 3.93187e-05
4.54813, -0.247121, -0.813326, 0.0040696, 0.221608, 0.000849646
4.53365, -0.245351, -0.337322, 0.00516521, 0.221397, 0.0020953
4.52982, -0.261484, 0.0388953, 0.00783403, 0.219153, 0.00153083
4.57514, -0.297719, 0.364389, 0.00788781, 0.221249, 0.00496207
4.62633, -0.280265, -0.288939, 0.00802994, 0.227575, 0.00606796
4.7082, -0.242344, -0.333292, 0.0110075, 0.229525, 0.00663368
4.73803, -0.287867, 0.215236, 0.0114891, 0.231179, 0.00896467
4.65848, -0.320232, 0.628182, 0.0119622, 0.229275, 0.00941762
4.76541, -0.265768, -0.0998715, 0.00835941, 0.236987, 0.00825445
4.79801, -0.241298, 0.217149, 0.00268689, 0.237848, 0.00366591
4.73059, -0.222371, 0.499268, 0.00194345, 0.228483, -0.00176392
4.68961, -0.241374, 0.190144, 0.00224094, 0.225184, -0.00724368
4.67329, -0.294766, 0.306042, 0.00807356, 0.222573, -0.00920996
4.58713, -0.337433, 0.413102, 0.0133272, 0.220957, -0.0110632
4.68472, -0.319298, 0.234532, 0.0170761, 0.222755, -0.0105531
4.66956, -0.364647, 0.340623, 0.0194005, 0.226683, -0.00277626
4.62136, -0.334546, 0.412021, 0.0156856, 0.224866, 0.00702167
4.67497, -0.274727, -0.224422, 0.0127196, 0.229937, 0.00764015
4.55908, -0.272271, -0.125756, 0.0102682, 0.224789, 0.00748027
4.61037, -0.24503, 0.342233, 0.00436359, 0.229109, 0.0018682
4.62954, -0.266831, 0.372561, 0.00717793, 0.228284, -0.00457012
4.55953, -0.332149, 0.344154, 0.0144536, 0.221602, -0.00836675
4.60629, -0.352806, 0.541607, 0.0180573, 0.228, -0.00797786
4.64265, -0.346419, 0.198586, 0.0222338, 0.22851, -0.00175352
4.62825, -0.345689, -0.0910106, 0.0181073, 0.227857, 0.00516996
4.58679, -0.313226, 0.169895, 0.0154518, 0.227102, 0.00684552
4.55283, -0.301678, 0.562629, 0.011235, 0.220444, 0.0056036
4.53172, -0.30485, 0.377151, 0.00602107, 0.21925, -0.000576788
4.51945, -0.269914, 0.0132913, 0.00513979, 0.217798, -0.00647053
4.48008, -0.264389, -0.11367, 0.006271, 0.217701, -0.00845398
4.53208, -0.252094, -0.202741, 0.00895642, 0.216772, -0.00819829
4.53037, -0.246667, -0.673977, 0.0100454, 0.220747, -0.00442754
4.51776, -0.27792, -0.708108, 0.013308, 0.220346, 0.0062641
4.52244, -0.276924, 0.0656157, 0.0128407, 0.21985, 0.0101493
4.55732, -0.287164, 0.181883, 0.01373, 0.225063, 0.0102635
4.6815, -0.246062, -0.169806, 0.00737588, 0.230722, 0.00964201
4.62795, -0.196754, -0.404935, 0.00231879, 0.22811, 0.00786329
4.5132, -0.173921, -0.0968155, -0.00143412, 0.221995, 0.00206853
4.53236, -0.190891, -0.289237, -0.000124622, 0.22002, -0.00297082
4.55469, -0.229457, -0.828926, 0.00349259, 0.219873, -0.00620219
4.66829, -0.210285, -0.712636, 0.0103651, 0.226772, -0.00649143
4.82515, -0.2514, -0.305201, 0.013375, 0.235526, -0.00129334
4.86599, -0.243402, -0.620625, 0.0095514, 0.24, 0.00726436
4.89105, -0.19989, -0.555005, 0.00799899, 0.24084, 0.0110043
4.96142, -0.210944, -0.163543, 0.00523029, 0.244082, 0.00907031
4.9272, -0.175496, 0.130747, 0.000268226, 0.238617, 0.00820744
4.84937, -0.171697, 0.0560965, -0.00299139, 0.233182, 0.00489179
4.8748, -0.159126, -0.245475, 0.00100116, 0.235139, -0.00194526
4.72905, -0.172747, -0.220632, 0.00665119, 0.226207, -0.00615202
4.6026, -0.214146, -0.0846497, 0.0096271, 0.220173, -0.00586583
4.56144, -0.229315, -0.379527, 0.0133467, 0.219401, -0.00600989
4.47728, -0.25418, -0.531309, 0.0128487, 0.214975, -0.00613383
4.49739, -0.241378, -0.836884, 0.0129709, 0.21537, -0.00717239
4.45331, -0.262779, -0.658395, 0.0148273, 0.2147, -0.00841884
4.43278, -0.260768, -0.442709, 0.0138422, 0.210447, -0.007799
4.44156, -0.246485, -0.720643, 0.0116702, 0.214101, -0.00745011
4.48303, -0.212941, -0.602983, 0.00661888, 0.216973, -0.00483349
4.50757, -0.147089, -0.614517, 0.000674406, 0.219897, -0.00606954
4.6102, -0.157761, -0.50873, -6.34975e-05, 0.222202, -0.00731882
4.67122, -0.157774, -0.939327, 0.00141683, 0.227783, -0.00776466
4.69027, -0.152583, -0.760148, 0.000694179, 0.226769, -0.00755812
4.68885, -0.164669, -0.741608, 0.00520058, 0.221136, -0.00804362
4.70837, -0.207968, -0.249785, 0.00700947, 0.225153, -0.00897337
4.75524, -0.188987, -0.339857, 0.0103047, 0.229636, -0.00949694
4.73128, -0.193854, -0.524138, 0.0084498, 0.228634, -0.00531537
4.59838, -0.170443, -0.968778, 0.00624433, 0.220806, -0.00246375
4.57485, -0.142855, -0.836662, 0.00272497, 0.219708, -0.0043019
4.52763, -0.179165, -0.322283, 0.00388815, 0.213369, -0.0106474
4.33555, -0.19062, -0.725385, 0.00467294, 0.205535, -0.0120989
4.36156, -0.151088, -1.07572, 0.00589227, 0.206587, -0.0131015
4.44106, -0.170727, -1.03959, 0.00610084, 0.209493, -0.0124354
4.43931, -0.161657, -1.09935, 0.00854493, 0.21056, -0.00956688
4.42939, -0.183556, -1.1714, 0.00984561, 0.21072, -0.000734062
4.55812, -0.199142, -1.25832, 0.00773246, 0.219149, 0.00334955
4.63651, -0.130115, -1.1233, 0.00619225, 0.225699, 0.00536328
4.57194, -0.119257, -1.46263, 0.00429512, 0.22238, 0.00631822
4.65302, -0.149865, -1.49172, 0.00824258, 0.224537, 0.00358004
4.80949, -0.198524, -1.14889, 0.010624, 0.231518, -0.00295489
4.81874, -0.213137, -1.4209, 0.0111977, 0.233695, -0.0065312
4.74015, -0.194218, -1.56424, 0.0117491, 0.22946, -0.00712663
4.83795, -0.230049, -1.32329, 0.0112349, 0.233604, -0.00752355
4.91587, -0.215058, -1.40285, 0.00824213, 0.237122, -0.00537378
4.62427, -0.140395, -1.91692, 0.00421897, 0.225257, -0.000402565
4.26447, -0.134412, -1.83689, 0.00771167, 0.205529, -0.00403446
3.93603, -0.19275, -1.00831, 0.0114573, 0.188005, -0.0117442
3.83213, -0.211348, -1.37787, 0.0123341, 0.183404, -0.0151898
3.75915, -0.235867, -1.54891, 0.0144146, 0.178246, -0.0171738
3.69921, -0.256898, -1.52989, 0.0131757, 0.175126, -0.0162938
3.73618, -0.281435, -1.2772, 0.0159632, 0.17673, -0.0145439
3.83714, -0.292511, -1.74097, 0.015979, 0.182883, -0.0118009
3.93, -0.329168, -1.65969, 0.0152079, 0.189064, -0.000792024
3.99011, -0.290633, -1.53161, 0.0146053, 0.194228, 0.00293964
4.09756, -0.268757, -0.973435, 0.0119654, 0.200088, 0.00736096
4.28448, -0.26857, -0.623756, 0.0107925, 0.212915, 0.00947875
4.44045, -0.262992, -0.355867, 0.00814553, 0.217204, 0.00988708
4.48334, -0.241538, -0.28663, 0.00733396, 0.217243, 0.00767325
4.57095, -0.231267, -0.242197, 0.00427094, 0.22329, -0.00107867
4.72549, -0.23197, -0.677985, 0.0079765, 0.227276, -0.00726029
4.71581, -0.23943, -0.642216, 0.00841059, 0.225012, -0.00760738
4.68634, -0.252441, -0.399179, 0.00880909, 0.224446, -0.00653369
4.70235, -0.189201, -0.705399, 0.00465317, 0.230367, 0.00262859
4.62089, -0.159558, -0.688976, 0.00354117, 0.223608, 0.0102381
4.57226, -0.201958, -0.123029, 0.00568461, 0.223238, 0.0114019
4.63745, -0.215027, -0.29522, 0.00779109, 0.230663, 0.00953626
4.70354, -0.209743, -0.458527, 0.0108895, 0.230769, 0.00702811
4.71832, -0.239528, -0.0683959, 0.0146677, 0.23202, 0.00223676
4.76997, -0.234306, -0.490879, 0.00921854, 0.235177, -0.00780962
4.6918, -0.199116, -1.44773, 0.00682202, 0.228996, -0.00646149
4.68286, -0.228768, -0.990441, 0.00933673, 0.228596, -0.00645279
4.85368, -0.261302, -0.479701, 0.0139893, 0.235362, -0.00602232
4.95611, -0.265181, -0.92515, 0.0159075, 0.243421, -0.00297116
4.95703, -0.263651, -1.11116, 0.0154044, 0.246124, -0.000489902
4.88643, -0.261191, -1.23446, 0.018852, 0.238824, 0.000477022
4.85892, -0.217193, -1.51709, 0.0173264, 0.238876, -0.0045386
4.90551, -0.243994, -1.20803, 0.0169656, 0.239754, -0.00910307
4.90489, -0.338781, -0.759347, 0.0171183, 0.237227, -0.00877418
4.91265, -0.343692, -0.569163, 0.0201653, 0.234422, -0.00716731
4.86575, -0.341254, -0.0370982, 0.0231143, 0.232365, -0.00394148
4.79643, -0.35725, 0.180482, 0.0222164, 0.229172, -0.00147264
4.76815, -0.364883, 0.612961, 0.0167343, 0.225434, 0.00181781
