# Trial: 4
# Angle[deg]: 30
# Timestamp: 20260308_211355

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
4.19627, -1.41856, -8.65155, 0.0173523, 0.229668, -0.000291162
4.06252, -1.47681, -9.00978, 0.0237236, 0.222633, -0.00250487
4.00718, -1.52792, -9.41951, 0.0270052, 0.216435, -0.0014923
3.88034, -1.43577, -9.12945, 0.0210166, 0.209534, 0.00275604
3.72231, -1.34903, -8.93062, 0.0139502, 0.203629, 0.0053156
3.60486, -1.31979, -8.80525, 0.00923843, 0.195798, 0.00528622
3.61122, -1.37929, -9.09091, 0.0100442, 0.197012, 0.00595453
3.49491, -1.34165, -9.2623, 0.00697421, 0.191891, 0.00455894
3.42538, -1.32896, -9.36125, 0.00666497, 0.186797, 0.00362444
3.35129, -1.44101, -9.69022, 0.0120732, 0.184878, 0.00442347
3.21155, -1.5003, -9.9989, 0.0210336, 0.177613, 0.00688496
3.18938, -1.47144, -9.89913, 0.0239982, 0.173972, 0.00758637
3.20294, -1.3685, -9.41666, 0.0239798, 0.176755, 0.00712245
3.22368, -1.36517, -9.29189, 0.0258129, 0.172159, 0.00595215
3.13639, -1.3577, -9.11273, 0.0290957, 0.168422, 0.00498523
3.12655, -1.37682, -9.41822, 0.0361005, 0.16831, 0.00267921
3.17377, -1.43505, -9.79487, 0.0392063, 0.169186, 0.00155648
3.17374, -1.3795, -9.41866, 0.039903, 0.166392, 0.0016176
3.14799, -1.24986, -8.80808, 0.0317129, 0.165306, 0.00510352
3.18484, -1.17593, -8.39407, 0.0271724, 0.164575, 0.00845748
3.0851, -1.17122, -7.92751, 0.0270809, 0.158414, 0.00869576
3.04909, -1.16004, -8.18902, 0.0326693, 0.156953, 0.00570946
3.07095, -1.24199, -9.10288, 0.0403964, 0.156023, 0.00367246
3.10649, -1.26527, -9.29047, 0.0408488, 0.158767, 0.00429806
3.14982, -1.16638, -8.93204, 0.0324656, 0.160627, 0.00659233
3.15576, -1.0622, -8.34187, 0.0216, 0.159029, 0.00775596
3.15329, -0.919136, -7.40844, 0.0107121, 0.158325, 0.0027226
3.2129, -0.99698, -7.45822, 0.0146222, 0.16733, -0.00283196
3.28532, -1.13534, -8.33855, 0.0254905, 0.165669, -0.00798938
3.21347, -1.26402, -9.18687, 0.0397286, 0.166651, -0.00839748
3.2786, -1.30312, -9.77291, 0.0430583, 0.175371, -0.00292213
3.51268, -1.30974, -9.70729, 0.0357925, 0.186647, 0.00285953
3.57396, -1.1826, -8.98172, 0.025686, 0.1879, 0.00554801
3.6394, -1.10026, -8.65047, 0.0207005, 0.189505, 0.0069393
3.64647, -1.22399, -9.16974, 0.0225148, 0.188872, 0.00619292
3.58879, -1.20116, -9.52146, 0.0256739, 0.188279, 0.00293422
3.56911, -1.22947, -9.65058, 0.0209301, 0.184848, -0.000773155
3.56675, -1.26175, -9.54585, 0.0127742, 0.184889, -0.00258204
3.54722, -1.0944, -8.59641, 0.00816101, 0.18333, -0.00103833
3.3616, -1.05163, -8.57981, 0.00600582, 0.179461, -0.00276214
3.39877, -1.22292, -9.33994, 0.0141858, 0.178985, -0.00363111
3.28494, -1.30707, -9.89287, 0.0256481, 0.171018, -0.00428258
3.18757, -1.29834, -10.2608, 0.0276351, 0.168548, -0.0058368
3.13723, -1.32231, -10.0032, 0.0217005, 0.16527, -0.00762614
3.10779, -1.26359, -9.44868, 0.017039, 0.164738, -0.00755168
2.92439, -1.17728, -9.29604, 0.0169727, 0.15721, -0.00779731
2.85717, -1.21368, -8.9035, 0.0153073, 0.152781, -0.00984007
2.91873, -1.16797, -8.57259, 0.0194568, 0.158471, -0.010158
2.8363, -1.11356, -8.5186, 0.0217478, 0.151388, -0.0107318
2.77572, -1.13085, -8.00843, 0.0218686, 0.145352, -0.0117488
2.71976, -1.09278, -7.9533, 0.0260127, 0.143314, -0.0110384
2.68408, -1.04573, -7.76156, 0.029477, 0.137874, -0.00789832
2.6356, -1.09454, -7.88637, 0.0304677, 0.135256, -0.00800916
2.57839, -1.10346, -8.0112, 0.0329899, 0.131818, -0.00828292
2.51883, -1.11444, -8.27802, 0.0308223, 0.126361, -0.00659063
2.48968, -1.08009, -7.97072, 0.0235238, 0.125154, -0.0024329
2.46736, -1.0003, -7.80785, 0.0190988, 0.125783, 0.000418609
2.52113, -0.934033, -7.51669, 0.0144384, 0.128141, -0.00287897
2.63599, -0.994302, -7.38762, 0.0128272, 0.137024, -0.00757891
2.79961, -0.992358, -7.40024, 0.0152933, 0.146326, -0.0107318
2.98951, -1.02734, -7.55546, 0.0190873, 0.155511, -0.0134551
3.02049, -1.12758, -7.86709, 0.0260968, 0.154673, -0.013059
3.04956, -1.13879, -8.00879, 0.0308488, 0.15807, -0.0118336
3.27819, -1.25376, -8.52581, 0.0362093, 0.172573, -0.00894162
3.32794, -1.31735, -8.96995, 0.0400271, 0.175076, -0.00561953
3.47309, -1.333, -9.21302, 0.0422868, 0.184961, -0.00627811
3.61682, -1.41784, -9.49462, 0.0444699, 0.194181, -0.0102083
3.75174, -1.36148, -9.28512, 0.0427117, 0.195567, -0.01496
3.86858, -1.2977, -9.1995, 0.0353736, 0.205529, -0.0166564
3.96509, -1.33074, -8.75957, 0.0253345, 0.21219, -0.0132722
3.98765, -1.30288, -8.85023, 0.022546, 0.214291, -0.0136685
4.01023, -1.32108, -8.92408, 0.0207449, 0.216126, -0.0156434
4.03016, -1.48696, -9.59426, 0.0326352, 0.215241, -0.0167366
3.97304, -1.54858, -10.1308, 0.0412219, 0.213404, -0.0178246
3.99042, -1.50092, -9.76399, 0.0389642, 0.215913, -0.0174272
4.07357, -1.55213, -9.96896, 0.0434342, 0.222412, -0.0165872
4.08626, -1.58757, -10.236, 0.0455621, 0.220551, -0.0154586
4.13051, -1.4536, -9.45756, 0.0402168, 0.222883, -0.0143787
4.18882, -1.53332, -9.68984, 0.044872, 0.226144, -0.0144841
4.25219, -1.54435, -9.85818, 0.0485518, 0.224664, -0.0130679
4.32917, -1.55058, -9.67819, 0.0453165, 0.231435, -0.0109289
4.2415, -1.49791, -9.77012, 0.0424103, 0.220291, -0.00420326
4.30142, -1.45969, -10.1349, 0.0402249, 0.224361, -0.000620626
4.27693, -1.53388, -10.0377, 0.0352038, 0.227087, -0.00148948
4.22159, -1.48825, -10.0293, 0.0342572, 0.223559, -0.00216999
4.34898, -1.50553, -10.2543, 0.0393585, 0.231127, -0.00332334
4.37657, -1.56601, -10.5026, 0.0411692, 0.230589, -0.00125278
4.38512, -1.61595, -10.9021, 0.0428609, 0.229263, 0.00200119
4.44211, -1.58632, -10.875, 0.0390321, 0.229434, 0.00311714
4.59797, -1.56641, -10.5711, 0.0363094, 0.238021, 0.00413536
4.66887, -1.56693, -10.8849, 0.0377799, 0.242866, 0.00408915
4.73213, -1.58397, -10.8224, 0.0364835, 0.245964, 0.00441025
4.77143, -1.49777, -10.3411, 0.0315767, 0.249342, 0.00348863
4.91382, -1.43673, -10.0959, 0.0267739, 0.258068, -0.000333418
5.02459, -1.41754, -9.93982, 0.0186252, 0.257564, -0.00413683
5.03059, -1.33408, -9.17366, 0.010619, 0.258324, -0.00669175
5.13862, -1.21511, -8.50562, 0.0060622, 0.265262, -0.00846697
5.17845, -1.23725, -8.31861, 0.00757326, 0.265202, -0.0098151
5.1448, -1.27214, -8.46032, 0.007685, 0.261802, -0.00865114
5.13036, -1.26381, -8.47017, 0.00987781, 0.259599, -0.000493066
5.15444, -1.33283, -8.8853, 0.0183171, 0.263305, 0.00436958
5.17356, -1.36294, -9.19847, 0.0233505, 0.263894, 0.00381437
5.23841, -1.373, -9.06742, 0.0265378, 0.267096, 0.000173771
5.33045, -1.2952, -8.44443, 0.0204472, 0.269214, -0.00221959
