# Trial: 4
# Angle[deg]: 10
# Timestamp: 20260308_211530

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
6.40575, -0.210459, -6.54038, -0.0145119, 0.287728, -7.84115e-05
6.49693, -0.196211, -6.49905, -0.008194, 0.294032, 0.00562868
6.48315, -0.192719, -6.38528, -0.00346841, 0.292393, 0.0115125
6.40459, -0.192781, -6.56569, -0.00185227, 0.293682, 0.00969591
6.32354, -0.175189, -6.49375, -0.00441036, 0.288547, 0.00989239
6.25443, -0.194623, -6.58214, -0.00484716, 0.28779, 0.0108413
6.26809, -0.123625, -6.44859, -0.00605655, 0.285755, 0.0104431
6.3155, -0.156973, -6.80689, -0.00289976, 0.289432, 0.0100969
6.38777, -0.13427, -6.52258, -0.00371065, 0.290856, 0.00823479
6.41675, -0.0801614, -5.92744, -0.00719386, 0.288856, 0.00377222
6.50346, -0.11564, -5.75001, -0.0100349, 0.295372, -0.00663616
6.63962, -0.138104, -5.66358, -0.0114657, 0.300254, -0.00910127
6.76159, -0.105859, -5.27269, -0.0111617, 0.305504, -0.0116188
6.82866, -0.152289, -4.74555, -0.01176, 0.312359, -0.0123801
6.96314, -0.237104, -5.00346, -0.00542248, 0.318714, -0.0109939
7.03214, -0.23862, -5.45491, 0.00328277, 0.322417, -0.00623258
7.11546, -0.224462, -5.51112, 0.00442313, 0.325569, 0.00109076
7.19477, -0.186612, -5.58906, 0.00222896, 0.329051, 0.00496772
7.20213, -0.157872, -5.70557, -0.00183115, 0.329112, 0.0056715
7.27954, -0.1389, -5.35587, -0.00398023, 0.330319, 0.00690699
7.1944, -0.11331, -5.07976, -0.00358365, 0.323549, 0.00461294
7.14419, -0.0709847, -4.82309, -0.00198006, 0.318422, 0.00079112
7.06877, -0.0985815, -4.62279, -0.00613383, 0.313227, -0.00537333
7.00225, -0.0976429, -4.53413, -0.00812835, 0.312536, -0.00626862
7.07168, -0.118203, -4.57774, -0.00896071, 0.31469, -0.00461792
7.06172, -0.090201, -4.38226, -0.00756682, 0.313261, -0.00648137
7.08636, -0.0637297, -3.96204, -0.00620953, 0.313453, -0.00721058
7.05476, -0.0871718, -4.04758, -0.00465893, 0.310455, -0.0035684
7.03263, -0.0663808, -4.32886, -0.00516386, 0.313297, 0.00241223
7.03381, -0.0460791, -4.40861, -0.0113875, 0.314626, 0.00449883
7.07134, -0.0368402, -4.16453, -0.0164828, 0.313517, -0.00176629
7.06067, -0.091491, -4.31325, -0.0140481, 0.316092, -0.00810282
7.014, -0.126116, -4.84268, -0.0105753, 0.315744, -0.0101355
6.96502, -0.167044, -5.32566, -0.0113134, 0.316022, -0.00969455
6.84934, -0.222509, -5.94374, -0.00803898, 0.312684, -0.0112518
6.74116, -0.274865, -6.06165, -0.00600853, 0.305736, -0.0142403
6.56162, -0.347878, -6.48992, -0.00236285, 0.300481, -0.0144013
6.52873, -0.437407, -7.50113, 0.004288, 0.303223, -0.0149968
6.67411, -0.456681, -7.89546, -0.00126724, 0.313443, -0.0133686
6.79778, -0.379874, -6.95281, -0.00789312, 0.315717, -0.00888784
6.85859, -0.23649, -5.19532, -0.0169687, 0.317515, -0.0040548
7.01977, -0.208924, -4.39028, -0.0175091, 0.324744, -0.00383391
6.90195, -0.247975, -3.79017, -0.00698834, 0.316572, -0.00650883
6.78271, -0.243843, -3.78259, 0.000671243, 0.311618, -0.00989193
6.71066, -0.277356, -4.15927, 0.00341146, 0.309915, -0.0114193
6.50052, -0.322892, -4.37451, 0.000437251, 0.300067, -0.0128588
6.13448, -0.289615, -4.6081, -0.00557083, 0.287899, -0.0145648
5.8642, -0.296616, -4.30428, -0.00773279, 0.277614, -0.0165479
5.79958, -0.282426, -3.48002, -0.00591148, 0.271691, -0.0169887
5.64604, -0.306091, -2.63809, -0.00317984, 0.263458, -0.0184484
5.60429, -0.282636, -2.25862, -0.000243934, 0.262094, -0.0154312
5.52452, -0.281297, -1.76192, 0.00478491, 0.254792, -0.0125243
5.3211, -0.188115, -0.947823, 0.00123797, 0.24501, -0.00412632
5.14635, -0.127201, -0.379251, -0.00197046, 0.236286, 0.000219191
4.97485, -0.138562, -0.673221, -0.000937209, 0.228628, 0.000594526
4.91913, -0.0662918, -0.37007, -0.00128814, 0.221902, -0.00107019
4.73292, -0.107175, -0.301754, -0.00266283, 0.213187, -0.00581533
4.6042, -0.0783732, -0.519708, -0.0011773, 0.206739, -0.0100096
4.38617, -0.123327, -0.680471, -0.00154405, 0.197866, -0.0110147
4.22916, -0.153019, -0.732195, -0.000473971, 0.193126, -0.00999972
4.10129, -0.157076, -1.12183, 0.00397277, 0.186582, -0.00685479
4.06365, -0.197425, -1.70307, 0.00477971, 0.187036, -0.00633811
4.07863, -0.244234, -1.90103, 0.00521877, 0.189307, -0.00744739
4.05999, -0.231819, -2.34884, 0.00562608, 0.190352, -0.00747666
4.13136, -0.221744, -2.66254, 0.000760727, 0.199205, -0.00611361
4.37995, -0.231494, -2.69289, -0.00320967, 0.206892, -0.00794939
4.4441, -0.270181, -3.00228, -0.00117391, 0.209464, -0.0133418
4.69344, -0.346668, -3.47161, 0.00230376, 0.223222, -0.0164357
4.9927, -0.469888, -3.61535, 0.0051816, 0.236352, -0.0160997
5.30888, -0.514219, -4.27919, 0.00950101, 0.249008, -0.0163492
5.65266, -0.583651, -4.56658, 0.0119607, 0.267528, -0.0155659
5.96216, -0.590573, -4.43028, 0.00695376, 0.2798, -0.0108706
6.04719, -0.563599, -3.8227, 0.00466029, 0.282503, -0.00179341
6.23604, -0.627524, -4.79029, 0.0101378, 0.295152, -0.00193181
6.28673, -0.66484, -5.11549, 0.0127206, 0.296403, -0.00528407
6.19139, -0.635375, -5.23721, 0.0141899, 0.293692, -0.011553
6.26727, -0.660098, -5.61707, 0.0106903, 0.296426, -0.0147011
6.00151, -0.687953, -5.99751, 0.00926961, 0.281178, -0.0115255
5.80577, -0.670205, -5.83535, 0.00579013, 0.275942, -0.010845
5.57214, -0.654378, -5.87041, 0.00437963, 0.26823, -0.0110036
5.30739, -0.722129, -6.06547, 0.006874, 0.252514, -0.0115542
5.39331, -0.62643, -5.5712, 0.00929775, 0.26007, -0.008824
5.39558, -0.559404, -4.64814, 0.00731034, 0.254313, -0.00787549
5.19329, -0.589461, -4.47731, 0.00894072, 0.245917, -0.00877135
5.16026, -0.591133, -4.65975, 0.0130796, 0.246646, -0.0130623
5.24303, -0.650913, -5.28562, 0.0156065, 0.248626, -0.0122672
5.27622, -0.646207, -5.32918, 0.0125301, 0.251204, -0.010175
5.2229, -0.591409, -4.93335, 0.00706144, 0.250554, -0.00734571
5.21244, -0.592485, -4.70507, 0.0109513, 0.246029, -0.00358105
5.27075, -0.632995, -4.5078, 0.016883, 0.247836, -0.00412835
5.19146, -0.594202, -4.44641, 0.0179508, 0.247271, -0.00579556
5.27472, -0.593829, -4.36726, 0.0176238, 0.249362, -0.00688417
5.30495, -0.569533, -4.43758, 0.0171169, 0.250624, -0.00508861
5.10241, -0.575658, -4.62251, 0.0156641, 0.244217, -0.00261221
5.1585, -0.611226, -4.90692, 0.0156836, 0.245699, -0.000183487
5.11405, -0.599625, -5.04968, 0.0150808, 0.242839, 0.000187668
4.97393, -0.532594, -4.79857, 0.0134493, 0.235823, 0.000220885
4.88092, -0.541633, -4.53667, 0.0144692, 0.230373, 0.00170099
4.71288, -0.550209, -4.66927, 0.0137305, 0.223088, 0.00259786
4.62938, -0.509677, -5.09101, 0.014021, 0.220434, 0.00139977
4.56516, -0.477392, -4.79429, 0.0142278, 0.215336, 0.0022484
4.40926, -0.475978, -4.46239, 0.0118131, 0.210337, 0.00237675
4.33821, -0.429934, -4.25572, 0.00934215, 0.204586, 0.00311793
4.3567, -0.476774, -4.82747, 0.0120906, 0.206438, 0.00414462
4.30667, -0.489095, -5.37448, 0.0104044, 0.205973, 0.00336864
4.23545, -0.474803, -5.65374, 0.00803819, 0.203016, 0.00161049
4.21727, -0.496457, -5.53014, 0.00494489, 0.201598, -6.02209e-05
4.20839, -0.4972, -5.75643, 0.00725611, 0.199215, -0.00321318
4.1213, -0.507137, -5.81034, 0.0103128, 0.194939, -0.00449759
4.12889, -0.525508, -5.90615, 0.0121531, 0.197856, -0.00175319
4.10691, -0.526029, -6.27149, 0.0136982, 0.193135, -0.000433184
4.02645, -0.540597, -6.24541, 0.0128156, 0.191001, -0.00161128
3.94273, -0.532181, -6.03453, 0.0098934, 0.188406, -0.00590029
3.87838, -0.567068, -6.52833, 0.00949445, 0.184552, -0.00782307
3.88514, -0.560191, -6.42138, 0.00569782, 0.186678, -0.00757767
3.74439, -0.542879, -6.45607, 0.00215417, 0.183188, -0.00641099
3.63108, -0.506617, -6.25654, 0.00193351, 0.177219, -0.00427975
3.59734, -0.507053, -5.71638, 0.00302234, 0.174855, -0.00168076
3.52909, -0.553265, -5.95798, 0.0110431, 0.170855, -0.00344694
3.40622, -0.569657, -6.27869, 0.0176657, 0.166177, -0.00347722
3.34895, -0.566428, -6.49148, 0.0187835, 0.164237, -0.0016524
3.31216, -0.513832, -6.16713, 0.0153396, 0.163695, 0.00108217
3.31701, -0.522088, -6.32909, 0.0152248, 0.163673, 0.000250939
3.31393, -0.593024, -6.45774, 0.0127907, 0.160518, -0.00344027
3.23798, -0.537447, -6.23849, 0.00707647, 0.159427, -0.00757484
3.23842, -0.518992, -6.20471, 0.00911403, 0.160139, -0.00994764
3.22301, -0.524241, -6.13194, 0.00777211, 0.157792, -0.00875644
3.17461, -0.581089, -6.25183, 0.0128136, 0.156966, -0.00415298
3.16883, -0.536255, -6.13145, 0.0162252, 0.155936, -0.000309917
3.13505, -0.552705, -6.25584, 0.0165652, 0.154006, 0.000373754
3.10386, -0.584852, -6.7379, 0.019283, 0.15361, 0.00130192
3.08285, -0.569101, -6.80892, 0.0169033, 0.152383, 0.00226998
3.05106, -0.548088, -6.5213, 0.0140995, 0.151514, 0.00377765
3.0655, -0.532697, -6.57578, 0.0137543, 0.152227, 0.00319657
3.08107, -0.559462, -6.61907, 0.0136687, 0.151027, 0.00464763
3.08191, -0.546922, -6.75282, 0.0140761, 0.152371, 0.00536689
3.10731, -0.54287, -6.97731, 0.0146083, 0.152693, 0.00475
3.15144, -0.525615, -6.88833, 0.0145273, 0.155544, 0.00456967
3.2353, -0.517929, -6.6108, 0.0148223, 0.16056, 0.00508194
