# Trial: 2
# Angle[deg]: -20
# Timestamp: 20260306_192358

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.0174993, 0.389936, 1.49212, -0.0202729, 0.00588877, -0.00775132
0.0457455, 0.358286, 1.48081, -0.020687, 0.00884253, -0.0100737
0.110547, 0.365061, 1.38098, -0.0196317, 0.0119293, -0.0112108
0.19666, 0.372405, 1.32693, -0.0170326, 0.0153414, -0.0114182
0.225169, 0.341103, 1.19885, -0.01719, 0.0184617, -0.0141335
0.295825, 0.361894, 1.19013, -0.0157034, 0.0213009, -0.0136
0.348643, 0.36696, 1.58073, -0.0216195, 0.0278702, -0.0157031
0.613708, 0.335921, 1.38245, -0.0181062, 0.0368881, -0.0163039
0.771771, 0.465271, 1.99698, -0.0225887, 0.0405383, -0.0178557
0.81499, 0.407088, 1.93368, -0.0241198, 0.0428972, -0.0182513
1.07998, 0.33294, 1.44908, -0.0214022, 0.0563203, -0.0183431
1.49311, 0.369545, 1.8595, -0.024145, 0.0733329, -0.0168842
1.59598, 0.431104, 2.32424, -0.0312228, 0.0775975, -0.015867
1.67843, 0.4523, 2.53942, -0.0336168, 0.0774275, -0.0148552
1.99639, 0.428929, 2.43238, -0.0331493, 0.0932189, -0.0124909
2.44094, 0.479861, 2.83267, -0.0396201, 0.118022, -0.0109972
2.76004, 0.509633, 2.97167, -0.0410876, 0.130434, -0.0133551
2.9772, 0.398552, 2.75459, -0.0413616, 0.138175, -0.014926
3.23526, 0.386595, 2.78259, -0.041734, 0.147525, -0.012234
3.6291, 0.461387, 3.01167, -0.0427027, 0.169086, -0.0130149
4.01529, 0.439822, 3.37716, -0.0412196, 0.185438, -0.0127952
4.17599, 0.381866, 3.04731, -0.0330282, 0.19176, -0.0118113
4.4075, 0.307999, 2.99891, -0.0256037, 0.201337, -0.0158244
4.68473, 0.353776, 3.56494, -0.0270782, 0.212826, -0.0213219
4.8265, 0.299872, 3.67122, -0.0286363, 0.218705, -0.0217538
4.94236, 0.248713, 3.18083, -0.0288733, 0.220698, -0.0191452
5.07102, 0.308898, 3.58943, -0.0331507, 0.225101, -0.0210502
5.12903, 0.308453, 3.82162, -0.0339675, 0.231639, -0.0209966
5.19954, 0.309111, 3.79604, -0.0335082, 0.230782, -0.0195169
5.19897, 0.264981, 3.7499, -0.0332731, 0.233361, -0.0210516
5.33489, 0.231392, 3.65153, -0.0304395, 0.243199, -0.0203987
5.41172, 0.265728, 4.03779, -0.0339528, 0.242016, -0.0182518
5.30694, 0.308199, 4.18837, -0.0325525, 0.233272, -0.011375
5.30982, 0.314044, 4.43308, -0.0285757, 0.232451, 0.000712821
5.40515, 0.260274, 3.92189, -0.019495, 0.240054, 0.00867893
5.40953, 0.28079, 3.92374, -0.0215728, 0.241326, 0.0111907
5.32893, 0.266658, 3.65602, -0.0178093, 0.234783, 0.010835
5.35864, 0.240769, 3.55257, -0.0147995, 0.236089, 0.00512409
5.4714, 0.257374, 4.01674, -0.0141511, 0.244725, 0.00444064
5.49019, 0.312746, 4.30791, -0.0181299, 0.243214, 0.0102172
5.44363, 0.30981, 3.86385, -0.0176259, 0.240598, 0.0137705
5.49599, 0.286808, 3.84456, -0.0197674, 0.243403, 0.0128805
5.44497, 0.290487, 3.8159, -0.0207163, 0.24135, 0.0108177
5.44744, 0.327069, 3.81465, -0.0236379, 0.239953, 0.0100286
5.51432, 0.367183, 4.15852, -0.0299245, 0.241717, 0.0057611
5.54264, 0.362526, 4.42903, -0.0333628, 0.245634, -0.000989069
5.59872, 0.35959, 4.27814, -0.0326826, 0.243939, 0.00040539
5.52796, 0.345298, 4.07472, -0.0216653, 0.239053, 0.0103868
5.54048, 0.386706, 4.25938, -0.0211494, 0.24211, 0.0167136
5.58819, 0.435912, 4.29133, -0.0213677, 0.244005, 0.0131183
5.48451, 0.375581, 4.29945, -0.0199479, 0.238475, 0.0109929
5.44953, 0.390065, 4.5281, -0.0168851, 0.238096, 0.00595441
5.52704, 0.447233, 5.15117, -0.0224389, 0.239962, 0.0033944
5.42786, 0.471841, 4.94334, -0.0277409, 0.23942, 0.0116134
5.36513, 0.452322, 4.39196, -0.029504, 0.234361, 0.0153763
5.40026, 0.469794, 4.55502, -0.03786, 0.237309, 0.00947796
5.45366, 0.556126, 4.91549, -0.041234, 0.242912, 0.00378612
5.44363, 0.530913, 4.70838, -0.0412912, 0.239374, 0.00218445
5.26766, 0.482356, 4.38669, -0.0378564, 0.230175, 0.0105819
5.22533, 0.467255, 4.36738, -0.0325621, 0.227587, 0.0174748
5.19801, 0.474505, 4.30455, -0.0290838, 0.229857, 0.016877
5.26832, 0.438185, 4.13181, -0.0264975, 0.232328, 0.0139107
5.28376, 0.436651, 4.16555, -0.0242016, 0.232874, 0.0113923
5.28093, 0.497329, 4.30014, -0.0283692, 0.229714, 0.0123882
5.25131, 0.535659, 4.52449, -0.0348431, 0.233431, 0.0142543
5.31675, 0.532781, 4.45894, -0.0388257, 0.235473, 0.0121445
5.35782, 0.536758, 4.22231, -0.0421969, 0.234863, 0.00871452
5.3441, 0.470061, 3.9976, -0.0404272, 0.233934, 0.00712912
5.34958, 0.499437, 4.09327, -0.0364341, 0.235911, 0.0133564
5.332, 0.466703, 3.84634, -0.029323, 0.234559, 0.0160275
5.29878, 0.432879, 3.84476, -0.0260894, 0.231418, 0.013337
5.30551, 0.413876, 3.80759, -0.0227081, 0.231949, 0.0113319
5.37081, 0.380728, 3.83387, -0.0208404, 0.23608, 0.010743
5.35604, 0.395803, 3.63707, -0.0214262, 0.237327, 0.0111772
5.38656, 0.384491, 3.41405, -0.0216042, 0.236709, 0.0121305
5.6222, 0.339377, 3.06477, -0.0257438, 0.248664, 0.0141129
5.71555, 0.347157, 2.93929, -0.027289, 0.253195, 0.0148951
5.76501, 0.383228, 2.87511, -0.0268977, 0.253166, 0.0135604
5.81073, 0.310339, 2.46338, -0.0262946, 0.258695, 0.0138758
5.89034, 0.315904, 2.21279, -0.0198425, 0.258799, 0.0133236
5.89255, 0.286675, 2.40946, -0.0157952, 0.257714, 0.0121012
5.93046, 0.312359, 2.72318, -0.0175654, 0.261338, 0.013179
5.93356, 0.310539, 2.40474, -0.016828, 0.259133, 0.0171569
5.85899, 0.3506, 2.15374, -0.0178368, 0.256191, 0.0167918
5.85645, 0.361049, 2.23319, -0.0205523, 0.254861, 0.0159465
5.85806, 0.416585, 2.5352, -0.0229651, 0.25593, 0.0140185
5.89057, 0.411176, 2.75523, -0.0227929, 0.258913, 0.0101339
5.8518, 0.382116, 2.89637, -0.0194856, 0.258784, 0.00703557
5.81789, 0.399584, 3.00269, -0.0174287, 0.255144, 0.00521176
5.74235, 0.391524, 2.98412, -0.0187599, 0.249681, 0.00406113
5.68079, 0.373335, 2.73728, -0.0179018, 0.246629, 0.00763032
5.70839, 0.375888, 2.72806, -0.0207396, 0.250013, 0.0081279
5.6885, 0.404134, 2.83439, -0.019854, 0.249319, 0.00678734
5.57504, 0.447104, 2.85703, -0.0236387, 0.238615, 0.00195995
5.47322, 0.389838, 2.67739, -0.0273672, 0.233991, 0.00105245
5.47862, 0.419134, 2.85551, -0.0326974, 0.23536, 0.00108917
5.40599, 0.47402, 3.11559, -0.0368618, 0.234522, 0.00211236
5.27428, 0.480368, 3.25361, -0.0358821, 0.227623, 0.00505675
5.32211, 0.478504, 3.03408, -0.0349186, 0.228573, 0.00979104
5.34803, 0.482788, 3.15186, -0.0338453, 0.230314, 0.0113055
5.24083, 0.491911, 3.23953, -0.0367431, 0.22565, 0.00911855
5.20523, 0.481151, 2.89358, -0.0350496, 0.229573, 0.00289467
5.36473, 0.407426, 2.3729, -0.0340428, 0.242656, 0.00243381
5.45407, 0.405567, 2.38963, -0.0320667, 0.243652, 0.0108104
5.33949, 0.442567, 2.32354, -0.0299612, 0.234624, 0.0156267
5.28338, 0.405019, 2.08291, -0.0265019, 0.231366, 0.0157465
5.37772, 0.340098, 1.54175, -0.0250812, 0.237057, 0.0117887
5.38991, 0.342326, 1.3793, -0.0214495, 0.238717, 0.0100291
5.45228, 0.336601, 1.48491, -0.0228659, 0.241064, 0.00859295
5.51798, 0.379843, 1.77203, -0.0278121, 0.244789, 0.0106453
5.53155, 0.38172, 1.71863, -0.0301351, 0.243295, 0.0113127
5.47627, 0.410598, 1.86213, -0.031019, 0.241095, 0.0114869
5.50549, 0.397431, 1.88178, -0.0257686, 0.241783, 0.0126026
5.48726, 0.368442, 1.7303, -0.0243019, 0.241908, 0.0130064
5.41386, 0.368193, 1.59545, -0.0229539, 0.238812, 0.0117844
5.24378, 0.376364, 1.48071, -0.0265905, 0.231241, 0.013134
5.28386, 0.373633, 0.99718, -0.0274585, 0.233969, 0.0136424
5.22904, 0.416936, 1.20887, -0.032308, 0.23144, 0.0107829
5.12913, 0.448977, 1.48029, -0.035706, 0.225291, 0.00408169
5.05021, 0.482917, 1.96822, -0.0377899, 0.221968, -0.00085812
5.07834, 0.490239, 1.94695, -0.0379898, 0.222363, -0.00427681
4.94198, 0.476725, 2.011, -0.0351861, 0.214952, -0.00426687
4.79628, 0.457998, 1.82342, -0.0316743, 0.207854, -0.0053513
4.71603, 0.394744, 1.68191, -0.0272063, 0.205935, -0.00483982
4.70093, 0.381724, 1.75571, -0.0216541, 0.20403, -0.00363822
4.58145, 0.363184, 1.42829, -0.0186791, 0.2017, -0.00052425
4.54836, 0.339902, 1.45805, -0.0181556, 0.198996, 0.00209779
4.47257, 0.425094, 1.87948, -0.0196107, 0.195908, 0.00285524
4.46302, 0.446001, 2.10452, -0.0193357, 0.193586, 0.00395187
4.45835, 0.432741, 2.07782, -0.0189751, 0.195444, 0.00412654
4.46247, 0.400758, 2.06977, -0.0206642, 0.195573, 0.00523188
4.42658, 0.439596, 2.43799, -0.0222109, 0.191152, 0.0063659
