# Trial: 2
# Angle[deg]: -30
# Timestamp: 20260306_192419

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.655116, 0.404913, 0.631928, -0.041405, 0.0443659, -0.0194125
0.755775, 0.512408, 1.00506, -0.0507724, 0.0478931, -0.020068
0.856714, 0.531407, 1.02869, -0.0532203, 0.0511018, -0.0225216
1.00278, 0.487743, 1.08638, -0.0533691, 0.0576679, -0.0271533
1.19202, 0.469621, 1.03843, -0.0501396, 0.0663817, -0.0299498
1.46842, 0.435103, 0.946488, -0.050289, 0.08328, -0.0306068
1.71728, 0.469016, 1.08164, -0.0493094, 0.0922363, -0.0283056
1.82761, 0.451855, 1.10221, -0.0490927, 0.0986369, -0.0247767
1.94918, 0.443385, 1.14476, -0.0498129, 0.101919, -0.0168654
2.01637, 0.430308, 0.996459, -0.0479578, 0.101148, -0.00321837
2.03675, 0.48466, 1.0747, -0.0517015, 0.0983211, 0.0045821
2.02983, 0.495483, 1.01299, -0.0551824, 0.102578, 0.00650239
2.27594, 0.450792, 0.776655, -0.0559621, 0.113336, 0.00418281
2.52312, 0.489682, 1.09747, -0.0631994, 0.127923, -0.00400339
2.70685, 0.527586, 1.35102, -0.0652215, 0.13467, -0.00905517
2.85737, 0.536927, 1.59822, -0.0667861, 0.13932, -0.0117743
2.90644, 0.642297, 2.03468, -0.0709397, 0.143473, -0.00308268
3.00206, 0.564248, 1.60633, -0.0629382, 0.141708, 0.00669774
3.07536, 0.542238, 1.75241, -0.058866, 0.141545, 0.00917143
3.2405, 0.544093, 1.96081, -0.0517382, 0.149292, 0.00211101
3.37057, 0.51252, 1.99789, -0.0447414, 0.154996, -0.00659063
3.58726, 0.502169, 2.1901, -0.0429821, 0.166001, -0.0106239
3.69841, 0.480074, 2.27904, -0.0392044, 0.172078, -0.0112157
3.8503, 0.442607, 1.86532, -0.0335997, 0.176879, -0.00375358
3.95878, 0.362348, 1.4872, -0.0328791, 0.180308, 0.00380217
4.0341, 0.402915, 1.72101, -0.0316591, 0.18303, 0.0052765
4.21739, 0.512884, 2.3465, -0.0363876, 0.196504, 0.00657526
4.44327, 0.444333, 2.10669, -0.0343334, 0.203664, 0.00926555
4.46606, 0.40856, 1.94635, -0.0311804, 0.200765, 0.00938904
4.40583, 0.394686, 1.80932, -0.0307905, 0.197964, 0.00597983
4.52682, 0.451219, 1.88126, -0.0351129, 0.206398, 0.00822179
4.66745, 0.488001, 1.86506, -0.0409969, 0.211206, 0.0119417
4.65683, 0.534107, 2.14177, -0.0479179, 0.208425, 0.0120499
4.6813, 0.553746, 2.08027, -0.0495144, 0.20738, 0.0136738
4.65324, 0.573167, 2.03087, -0.0502866, 0.204151, 0.0182319
4.60009, 0.62929, 2.16502, -0.0549773, 0.204288, 0.018882
4.60111, 0.680658, 2.23627, -0.0533117, 0.203028, 0.0183646
4.63573, 0.579403, 1.88634, -0.0465794, 0.204085, 0.0162796
4.69905, 0.50949, 1.64381, -0.041033, 0.208317, 0.0147745
4.90059, 0.486484, 1.08024, -0.0384118, 0.218473, 0.0162531
5.17624, 0.417363, 0.472681, -0.0366818, 0.231194, 0.018916
5.32614, 0.561592, 0.919354, -0.0477058, 0.237352, 0.0210734
5.41065, 0.599718, 1.21298, -0.0524766, 0.240699, 0.0204664
5.45345, 0.573091, 0.898069, -0.0479429, 0.240994, 0.0182016
5.43158, 0.483059, 0.466098, -0.0433596, 0.238732, 0.0145526
5.56739, 0.560169, 0.604046, -0.0368349, 0.24798, 0.00924408
5.66935, 0.542776, 0.873493, -0.0335075, 0.255017, 0.000678813
5.67823, 0.475764, 0.759529, -0.0296831, 0.253794, 0.00233517
5.61998, 0.509054, 0.96292, -0.0317984, 0.247605, 0.00905246
5.6403, 0.575119, 0.814336, -0.0341103, 0.252098, 0.0140331
5.77518, 0.602409, 0.875543, -0.0388141, 0.254733, 0.0139293
5.77985, 0.599585, 0.624659, -0.0399015, 0.254428, 0.0139396
5.71514, 0.633547, 1.0007, -0.0464014, 0.248433, 0.0144103
5.773, 0.681588, 1.31017, -0.0523189, 0.254027, 0.0118915
5.91351, 0.766162, 1.48196, -0.0589072, 0.263067, 0.00654453
5.90637, 0.682246, 1.13342, -0.0563292, 0.257931, 0.00613982
5.84862, 0.616208, 0.636554, -0.0508903, 0.259974, 0.00989193
6.06263, 0.47725, -0.0858195, -0.0390935, 0.272328, 0.012131
6.36375, 0.549258, 0.352388, -0.0397531, 0.280855, 0.013481
6.33377, 0.668381, 0.514708, -0.0408451, 0.27931, 0.0152297
6.34044, 0.639183, 0.46931, -0.0450947, 0.279116, 0.0151016
6.34864, 0.634459, 0.251805, -0.0464679, 0.279505, 0.0125815
6.39659, 0.66363, 0.44432, -0.0523581, 0.282728, 0.00918815
6.48824, 0.770459, 1.12211, -0.0596401, 0.285712, 0.00832698
6.44199, 0.793572, 1.38975, -0.0605988, 0.283084, 0.00716923
6.3878, 0.749312, 1.14801, -0.0605856, 0.282935, 0.00681976
6.39766, 0.717053, 1.03212, -0.0542692, 0.280774, 0.00612536
6.32122, 0.697517, 0.791437, -0.0446223, 0.273728, 0.004978
6.21465, 0.648351, 0.737057, -0.0404737, 0.271505, 0.00290043
6.27266, 0.606115, 0.449439, -0.0353589, 0.278317, 0.00142395
6.30549, 0.62389, 0.672415, -0.036709, 0.282621, 0.00114713
6.2598, 0.678216, 0.958974, -0.037807, 0.275197, 0.000911449
6.20708, 0.671851, 0.989271, -0.0445662, 0.269603, 0.00507347
6.16858, 0.652172, 0.804906, -0.0458132, 0.268344, 0.00893134
6.18992, 0.721337, 0.846354, -0.0486066, 0.271291, 0.00640692
6.19204, 0.741452, 1.06693, -0.0499087, 0.27061, 0.00312019
6.17973, 0.713842, 0.949188, -0.0525699, 0.27274, 0.00209011
6.13784, 0.730563, 1.08735, -0.0577459, 0.275453, 0.00714426
6.05482, 0.762043, 1.2816, -0.0595995, 0.271504, 0.0136964
5.87406, 0.728779, 0.926965, -0.0521013, 0.261009, 0.0148957
5.84058, 0.678705, 0.675018, -0.050112, 0.25942, 0.0128422
5.83697, 0.711769, 0.795013, -0.0512505, 0.264469, 0.00774262
5.82456, 0.743462, 1.1654, -0.0570501, 0.264525, 0.00261402
5.66868, 0.687157, 0.934175, -0.0547714, 0.253873, 0.00248646
5.47206, 0.67943, 0.665321, -0.051849, 0.245776, 0.0102064
5.43009, 0.690809, 0.564355, -0.0527043, 0.244521, 0.0171459
5.35371, 0.678638, 0.502827, -0.0564099, 0.242505, 0.0185361
5.20494, 0.699274, 0.350213, -0.0568131, 0.234367, 0.0172614
5.12877, 0.680271, 0.257423, -0.0575084, 0.228782, 0.0131781
5.09694, 0.739775, 0.628774, -0.0634662, 0.228161, 0.00913189
5.04853, 0.737093, 0.649698, -0.0647541, 0.2283, 0.00280304
4.99719, 0.724233, 0.736999, -0.0653812, 0.227432, 0.000195012
4.94173, 0.676423, 0.355013, -0.0625676, 0.226584, 0.00260882
4.88773, 0.705328, 0.198417, -0.0585499, 0.22011, 0.00643652
4.79479, 0.620838, 0.0430099, -0.0535497, 0.218221, 0.0110303
4.79622, 0.600003, 0.127228, -0.0465523, 0.217309, 0.0136532
4.78324, 0.619531, 0.0486902, -0.0455261, 0.217021, 0.0157371
4.78689, 0.603099, -0.137681, -0.0491056, 0.214799, 0.0178952
4.73264, 0.585155, -0.371458, -0.0487757, 0.21046, 0.0162787
4.66048, 0.627657, -0.184103, -0.0518057, 0.207704, 0.0157797
4.67056, 0.710643, 0.24346, -0.0562148, 0.206988, 0.0143966
4.62446, 0.672558, 0.177488, -0.0561293, 0.206402, 0.010483
4.59996, 0.652861, 0.0131979, -0.0540309, 0.206296, 0.00665311
4.60407, 0.635268, -0.165345, -0.0490843, 0.204802, 0.00630862
4.50687, 0.62498, -0.152276, -0.0488586, 0.202281, 0.0101509
4.44908, 0.609607, -0.193693, -0.0487362, 0.199291, 0.013272
4.39906, 0.597214, -0.417982, -0.0496298, 0.199211, 0.0127552
4.32694, 0.549702, -0.613525, -0.0478293, 0.194961, 0.0133007
4.21608, 0.500438, -0.818842, -0.0442066, 0.188655, 0.0124118
4.07879, 0.477299, -0.748209, -0.0410023, 0.183343, 0.00990922
3.95459, 0.428782, -0.892981, -0.0337393, 0.173017, 0.00583103
3.75066, 0.391501, -1.08204, -0.0272984, 0.164856, 0.00235415
3.63899, 0.350916, -1.13335, -0.0253634, 0.164033, 0.00403661
3.57852, 0.327772, -1.44138, -0.0240487, 0.162472, 0.00921945
3.46899, 0.286417, -1.59913, -0.027311, 0.157186, 0.0125293
3.338, 0.353282, -1.34856, -0.0297308, 0.149612, 0.0120966
3.32125, 0.400909, -1.09885, -0.0311923, 0.148244, 0.0112867
3.34087, 0.449671, -0.760388, -0.0365508, 0.148053, 0.0104402
3.36959, 0.46209, -0.607618, -0.0379684, 0.149153, 0.0114579
3.33163, 0.468416, -0.582406, -0.0414824, 0.146931, 0.00999272
3.31199, 0.495438, -0.635535, -0.0419135, 0.144928, 0.0106376
3.29588, 0.528471, -0.370532, -0.0476982, 0.143265, 0.00761393
3.25516, 0.527212, -0.238652, -0.0471563, 0.14195, 0.00467102
3.21879, 0.499531, -0.390265, -0.0430662, 0.144079, 0.00459769
3.20784, 0.450262, -0.716306, -0.034876, 0.139551, 0.00842178
3.10374, 0.435156, -0.729802, -0.0305618, 0.138012, 0.0119702
3.13479, 0.414094, -0.8089, -0.029813, 0.140343, 0.0136193
3.19618, 0.427585, -1.04144, -0.0281625, 0.140814, 0.0139771
3.11638, 0.391239, -1.39893, -0.0301038, 0.140699, 0.0146245
3.03351, 0.412039, -1.66806, -0.0287581, 0.134602, 0.0133229
2.94897, 0.457402, -1.72183, -0.0294237, 0.131592, 0.0131345
2.90988, 0.464354, -1.58166, -0.0331829, 0.130104, 0.0101805
2.95856, 0.461472, -1.57847, -0.0306816, 0.130692, 0.00378262
3.03715, 0.437087, -1.56055, -0.032609, 0.136882, -0.00495585
3.12119, 0.451312, -1.53624, -0.0312148, 0.141637, -0.00725713
3.1232, 0.425441, -1.34209, -0.032822, 0.141447, -0.0102115
3.1091, 0.400091, -1.45903, -0.0315723, 0.142255, -0.0110827
3.20267, 0.39139, -1.61092, -0.0330599, 0.148142, -0.00980957
3.25439, 0.391648, -1.63876, -0.0364678, 0.151534, -0.00991092
3.24486, 0.374634, -1.80717, -0.0374488, 0.15274, -0.00792238
3.29052, 0.395007, -1.77855, -0.0372387, 0.152161, -0.00586877
3.36593, 0.346138, -1.9341, -0.0337729, 0.156955, -0.00962269
3.4525, 0.309343, -2.12362, -0.0299091, 0.162653, -0.011304
3.56861, 0.232615, -2.53755, -0.0265749, 0.167766, -0.0136013
3.68376, 0.225382, -2.683, -0.0239265, 0.173677, -0.0156072
3.83157, 0.191981, -2.74623, -0.0249876, 0.179646, -0.0152942
4.00485, 0.153023, -2.95397, -0.0245927, 0.188606, -0.0162734
4.21783, 0.0692677, -3.26025, -0.0242706, 0.198327, -0.0173141
4.26586, 0.015253, -3.42984, -0.0270501, 0.202877, -0.0160652
4.30773, 0.02483, -3.59909, -0.032154, 0.203883, -0.0140458
4.33536, 0.0104756, -3.71375, -0.0364943, 0.208643, -0.011124
4.36141, -0.0165741, -3.89782, -0.0378912, 0.207494, -0.00674881
4.44786, -0.0492374, -4.1738, -0.0365666, 0.212021, -0.00476841
4.56074, -0.0717409, -4.35544, -0.0299672, 0.215892, -0.00800441
4.53815, -0.147285, -4.50159, -0.0249278, 0.218183, -0.01215
4.60704, -0.148588, -4.70127, -0.0244994, 0.221542, -0.0146312
4.63256, -0.136565, -4.63047, -0.0298073, 0.222253, -0.0145096
4.57963, -0.136423, -4.70023, -0.0289838, 0.220087, -0.0129339
4.56379, -0.12294, -4.65732, -0.0290644, 0.218623, -0.0150167
4.63211, -0.204316, -4.84916, -0.0283231, 0.222796, -0.01907
4.6557, -0.22363, -4.5638, -0.0283095, 0.22351, -0.0203391
4.64599, -0.258544, -4.55344, -0.0287258, 0.223955, -0.0189396
4.6469, -0.235169, -4.54222, -0.0289528, 0.225115, -0.0162772
