# Trial: 3
# Angle[deg]: -50
# Timestamp: 20260308_205303

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
5.85526, -0.7536, 1.47406, 0.0436924, 0.290833, 0.00515482
5.96914, -0.800297, 1.67699, 0.0463942, 0.298511, 0.0021362
6.0884, -0.869236, 1.86203, 0.050634, 0.301243, 0.0080757
6.07649, -0.862399, 1.95602, 0.0453096, 0.305689, 0.013968
6.08341, -0.842253, 2.17381, 0.0396091, 0.303325, 0.0178978
6.05076, -0.80282, 2.45058, 0.0367715, 0.303493, 0.0175297
6.09143, -0.776611, 2.0454, 0.0383283, 0.305278, 0.0153201
6.08518, -0.853205, 1.2258, 0.0445983, 0.30794, 0.00912251
6.03607, -0.803589, 1.07716, 0.0480795, 0.303311, 0.00259063
5.95193, -0.759013, 1.57293, 0.0461224, 0.294089, -0.00393628
5.83439, -0.766464, 1.34248, 0.0448201, 0.288577, -0.0115695
5.82435, -0.711933, 0.730585, 0.0374397, 0.287732, -0.0133826
5.70352, -0.661415, 0.53469, 0.0332379, 0.281324, -0.0121007
5.52146, -0.540735, 0.302208, 0.0265792, 0.269516, -0.0114793
5.20979, -0.411207, -0.0301545, 0.0193552, 0.248442, -0.0132539
4.96076, -0.466498, 0.290518, 0.0199397, 0.233616, -0.0172752
4.914, -0.485648, -0.393032, 0.0238465, 0.229563, -0.0215655
4.83787, -0.423515, -1.40413, 0.0246281, 0.228251, -0.0207966
4.75104, -0.454929, -1.60704, 0.025341, 0.218965, -0.0186964
4.61846, -0.492854, -1.2353, 0.0255373, 0.21579, -0.0146464
4.63619, -0.464675, -1.22061, 0.0258796, 0.220314, -0.00804441
4.77685, -0.517155, -0.996904, 0.0235833, 0.227534, 0.00243335
4.90607, -0.486173, -0.6704, 0.0223239, 0.237478, 0.0082871
5.01043, -0.436758, -0.818642, 0.019475, 0.244975, 0.0141168
5.04858, -0.39478, -0.908469, 0.0173737, 0.254907, 0.015156
5.15401, -0.339026, -0.755797, 0.0192698, 0.261725, 0.0163984
5.23266, -0.350951, -0.660592, 0.0208684, 0.266256, 0.013105
5.24953, -0.42916, -0.458198, 0.0268839, 0.263537, 0.00780985
5.22898, -0.427487, -1.00504, 0.030506, 0.26209, -0.00314132
5.14715, -0.406736, -1.09897, 0.0295295, 0.259665, -0.00800927
